[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 1] أَنْقِذْنِي مِنْ أَعْدَائِي يَا إِلَهِي. مِنْ مُقَاوِمِيَّ ٱحْمِنِي.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 2] نَجِّنِي مِنْ فَاعِلِي ٱلْإِثْمِ، وَمِنْ رِجَالِ ٱلدِّمَاءِ خَلِّصْنِي،
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 3] لِأَنَّهُمْ يَكْمِنُونَ لِنَفْسِي. ٱلْأَقْوِيَاءُ يَجْتَمِعُونَ عَلَيَّ، لَا لِإِثْمِي وَلَا لِخَطِيَّتِي يَارَبُّ.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 4] بِلَا إِثْمٍ مِنِّي يَجْرُونَ وَيُعِدُّونَ أَنْفُسَهُمُ. ٱسْتَيْقِظْ إِلَى لِقَائِي وَٱنْظُرْ!
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 5] وَأَنْتَ يَارَبُّ إِلَهَ ٱلْجُنُودِ، إِلَهَ إِسْرَائِيلَ ٱنْتَبِهْ لِتُطَالِبَ كُلَّ ٱلْأُمَمِ. كُلَّ غَادِرٍ أَثِيمٍ لَا تَرْحَمْ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 6] يَعُودُونَ عِنْدَ ٱلْمَسَاءِ، يَهِرُّونَ مِثْلَ ٱلْكَلْبِ، وَيَدُورُونَ فِي ٱلْمَدِينَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 7] هُوَذَا يُبِقُّونَ بِأَفْوَاهِهِمْ. سُيُوفٌ فِي شِفَاهِهِمْ. لِأَنَّهُمْ يَقُولُونَ: «مَنْ سَامِعٌ؟».
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 8] أَمَّا أَنْتَ يَارَبُّ فَتَضْحَكُ بِهِمْ. تَسْتَهْزِئُ بِجَمِيعِ ٱلْأُمَمِ.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 9] مِنْ قُوَّتِهِ، إِلَيْكَ أَلْتَجِئُ، لِأَنَّ ٱللهَ مَلْجَإِي.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 10] إِلَهِي رَحْمَتُهُ تَتَقَدَّمُنِي. ٱللهُ يُرِينِي بِأَعْدَائِي.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 11] لَا تَقْتُلْهُمْ لِئَلَّا يَنْسَى شَعْبِي. تَيِّهْهُمْ بِقُوَّتِكَ وَأَهْبِطْهُمْ يَارَبُّ تُرْسَنَا.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 12] خَطِيَّةُ أَفْوَاهِهِمْ هِيَ كَلَامُ شِفَاهِهِمْ. وَلْيُؤْخَذُوا بِكِبْرِيَائِهِمْ، وَمِنَ ٱللَّعْنَةِ وَمِنَ ٱلْكَذِبِ ٱلَّذِي يُحَدِّثُونَ بِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 13] أَفْنِ، بِحَنَقٍ أَفْنِ، وَلَا يَكُونُوا، وَلْيَعْلَمُوا أَنَّ ٱللهَ مُتَسَلِّطٌ فِي يَعْقُوبَ إِلَى أَقَاصِي ٱلْأَرْضِ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 14] وَيَعُودُونَ عِنْدَ ٱلْمَسَاءِ. يَهِرُّونَ مِثْلَ ٱلْكَلْبِ، وَيَدُورُونَ فِي ٱلْمَدِينَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 15] هُمْ يَتِيهُونَ لِلْأَكْلِ. إِنْ لَمْ يَشْبَعُوا وَيَبِيتُوا.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 16] أَمَّا أَنَا فَأُغَنِّي بِقُوَّتِكَ، وَأُرَنِّمُ بِٱلْغَدَاةِ بِرَحْمَتِكَ، لِأَنَّكَ كُنْتَ مَلْجَأً لِي، وَمَنَاصًا فِي يَوْمِ ضِيقِي.
[VANDYKE | AR | OT | Psalms | Chapter 59 | Verse 17] يَا قُوَّتِي لَكَ أُرَنِّمُ، لِأَنَّ ٱللهَ مَلْجَإِي، إِلَهُ رَحْمَتِي.
