[ASV | EN | NT | Matthew | Chapter 25 | Verse 1] Then shall the kingdom of heaven be likened unto ten virgins, who took their lamps, and went forth to meet the bridegroom.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 2] And five of them were wise, and five were foolish.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 3] They that were foolish, when they took their lamps, took no oil with them:
[ASV | EN | NT | Matthew | Chapter 25 | Verse 4] but the wise took oil in their vessels with their lamps.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 5] Now while the bridegroom tarried, they all slumbered and slept.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 6] But at midnight there is a cry, Behold, the bridegroom cometh! Come ye forth to meet him.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 7] Then all those virgins arose, and trimmed their lamps.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 8] And the foolish said unto the wise, Give us of your oil; for our lamps are going out.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 9] But the wise answered, saying, Peradventure there will not be enough for us and you: but go ye rather to them that sell, and buy for yourselves.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 10] And while they went away to buy, the bridegroom came; and they that were ready went in with him to the marriage feast: and the door was shut.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 11] Afterward came also the other virgins, saying, Lord, Lord, open to us.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 12] But he answered and said, Verily I say unto you, I know you not.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 13] Watch therefore, for ye know not the day nor the hour wherein the Son of man cometh.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 14] For it is as when a man, going into another country, called his own servants, and delivered unto them his goods.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 15] And unto one he gave five talents, to another two, to another one; to each according to his several ability; and straightaway he went on his journey.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 16] Then he that received the five talents went and traded with them, and made other five talents.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 17] In like manner also he that received the two, he also gained other two.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 18] But he that received the one went away and dug in the earth, and hid his lord’s money.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 19] Now after a long time the lord of those servants cometh, and maketh a reckoning with them.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 20] And he that received the five talents came and brought other five talents, saying, Lord, thou deliveredst unto me five talents: lo, I have gained other five talents besides them.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 21] And his lord said unto him, Well done, good and faithful servant: thou hast been faithful over a few things, I will set thee over many things; enter thou into the joy of thy lord.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 22] And he also that received the two talents came and said, Lord, thou deliveredst unto me two talents: lo, I have gained other two talents besides them.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 23] His lord said unto him, Well done, good and faithful servant: thou hast been faithful over a few things, I will set thee over many things; enter thou into the joy of thy lord.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 24] And he also that had received the one talent came and said, Lord, I knew thee that thou art a hard man, reaping where thou didst not sow, and gathering where thou didst not scatter;
[ASV | EN | NT | Matthew | Chapter 25 | Verse 25] and I was afraid, and went away and hid thy talent in the earth: lo, thou hast thine own.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 26] But his lord answered and said unto him, Thou wicked and slothful servant, thou knewest that I reap where I sowed not, and gather where I did not scatter;
[ASV | EN | NT | Matthew | Chapter 25 | Verse 27] thou oughtest therefore to have put my money to the bankers, and at my coming I should have received back mine own with interest.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 28] Take ye away therefore the talent from him, and give it unto him that hath the ten talents.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 29] For unto everyone that hath shall be given, and he shall have abundance: but from him that hath not, even that which he hath shall be taken away.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 30] And cast ye out the unprofitable servant into the outer darkness: there shall be weeping and gnashing of teeth.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 31] But when the Son of man shall come in his glory, and all the holy angels with him, then shall he sit on the throne of his glory:
[ASV | EN | NT | Matthew | Chapter 25 | Verse 32] and before him shall be gathered all the nations: and he shall separate them one from another, as the shepherd separateth the sheep from the goats;
[ASV | EN | NT | Matthew | Chapter 25 | Verse 33] and he shall set the sheep on his right hand, but the goats on the left.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 34] Then shall the King say unto them on his right hand, Come, ye blessed of my Father, inherit the kingdom prepared for you from the foundation of the world:
[ASV | EN | NT | Matthew | Chapter 25 | Verse 35] for I was hungry, and ye gave me to eat; I was thirsty, and ye gave me drink; I was a stranger, and ye took me in;
[ASV | EN | NT | Matthew | Chapter 25 | Verse 36] naked, and ye clothed me; I was sick, and ye visited me; I was in prison, and ye came unto me.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 37] Then shall the righteous answer him, saying, Lord, when saw we thee hungry, and fed thee? or athirst, and gave thee drink?
[ASV | EN | NT | Matthew | Chapter 25 | Verse 38] And when saw we thee a stranger, and took thee in? or naked, and clothed thee?
[ASV | EN | NT | Matthew | Chapter 25 | Verse 39] And when saw we thee sick, or in prison, and came unto thee?
[ASV | EN | NT | Matthew | Chapter 25 | Verse 40] And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye did it unto one of the least of these my brethren, ye did it unto me.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 41] Then shall he say also unto them on the left hand, Depart from me, ye cursed, into the eternal fire which is prepared for the devil and his angels:
[ASV | EN | NT | Matthew | Chapter 25 | Verse 42] for I was hungry, and ye did not give me to eat; I was thirsty, and ye gave me no drink;
[ASV | EN | NT | Matthew | Chapter 25 | Verse 43] I was a stranger, and ye took me not in; naked, and ye clothed me not; sick, and in prison, and ye visited me not.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 44] Then shall they also answer, saying, Lord, when saw we thee hungry, or athirst, or a stranger, or naked, or sick, or in prison, and did not minister unto thee?
[ASV | EN | NT | Matthew | Chapter 25 | Verse 45] Then shall he answer them, saying, Verily I say unto you, Inasmuch as ye did it not unto one of the least of these, ye did it not unto me.
[ASV | EN | NT | Matthew | Chapter 25 | Verse 46] And these shall go away into eternal punishment: but the righteous into eternal life.
