[ASV | EN | NT | Mark | Chapter 10 | Verse 1] And he arose from thence, and cometh into the borders of Judea by the other side of the Jordan: and multitudes come together unto him again; and, as he was wont, he taught them again.
[ASV | EN | NT | Mark | Chapter 10 | Verse 2] And there came unto him Pharisees, and asked him, Is it lawful for a man to put away his wife? trying him.
[ASV | EN | NT | Mark | Chapter 10 | Verse 3] And he answered and said unto them, What did Moses command you?
[ASV | EN | NT | Mark | Chapter 10 | Verse 4] And they said, Moses suffered to write a bill of divorcement, and to put her away.
[ASV | EN | NT | Mark | Chapter 10 | Verse 5] And Jesus answered and said unto them, For your hardness of heart he wrote you this commandment.
[ASV | EN | NT | Mark | Chapter 10 | Verse 6] But from the beginning of the creation, God made them male and female.
[ASV | EN | NT | Mark | Chapter 10 | Verse 7] For this cause shall a man leave his father and mother, and shall cleave to his wife;
[ASV | EN | NT | Mark | Chapter 10 | Verse 8] and the two shall become one flesh: so that they are no more two, but one flesh.
[ASV | EN | NT | Mark | Chapter 10 | Verse 9] What therefore God hath joined together, let not man put asunder.
[ASV | EN | NT | Mark | Chapter 10 | Verse 10] And in the house his disciples asked him again of the same matter.
[ASV | EN | NT | Mark | Chapter 10 | Verse 11] And he saith unto them, Whosoever shall put away his wife, and marry another, committeth adultery against her:
[ASV | EN | NT | Mark | Chapter 10 | Verse 12] and if a woman shall put away her husband, and be married to another, she committeth adultery.
[ASV | EN | NT | Mark | Chapter 10 | Verse 13] And they were bringing unto him little children, that he should touch them: and the disciples rebuked those that brought them.
[ASV | EN | NT | Mark | Chapter 10 | Verse 14] But when Jesus saw it, he was moved with indignation, and said unto them, Suffer the little children to come unto me; forbid them not: for to such belongeth the kingdom of God.
[ASV | EN | NT | Mark | Chapter 10 | Verse 15] Verily I say unto you, Whosoever shall not receive the kingdom of God as a little child, he shall in no wise enter therein.
[ASV | EN | NT | Mark | Chapter 10 | Verse 16] And he took them in his arms, laid his hands upon them, and blessed them.
[ASV | EN | NT | Mark | Chapter 10 | Verse 17] And as he was going forth into the way, there ran one to him, and knelt to him, and asked him, Good Teacher, what shall I do that I may inherit eternal life?
[ASV | EN | NT | Mark | Chapter 10 | Verse 18] And Jesus said unto him, Why callest thou me good? none is good save one, even God.
[ASV | EN | NT | Mark | Chapter 10 | Verse 19] Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Do not defraud, Honor thy father and mother.
[ASV | EN | NT | Mark | Chapter 10 | Verse 20] And he answered and said unto him, Teacher, all these things have I observed from my youth.
[ASV | EN | NT | Mark | Chapter 10 | Verse 21] And Jesus looking upon him loved him, and said unto him, One thing thou lackest: go, sell whatsoever thou hast, and give to the poor, and thou shalt have treasure in heaven: and come, follow me, taking up the cross.
[ASV | EN | NT | Mark | Chapter 10 | Verse 22] But his countenance fell at the saying, and he went away sorrowful: for he was one that had great possessions.
[ASV | EN | NT | Mark | Chapter 10 | Verse 23] And Jesus looked round about, and saith unto his disciples, How hardly shall they that have riches enter into the kingdom of God!
[ASV | EN | NT | Mark | Chapter 10 | Verse 24] And the disciples were amazed at his words. But Jesus answereth again, and saith unto them, Children, how hard is it for them that trust in riches to enter into the kingdom of God!
[ASV | EN | NT | Mark | Chapter 10 | Verse 25] It is easier for a camel to go through the eye of a needle, than for a rich man to enter into the kingdom of God.
[ASV | EN | NT | Mark | Chapter 10 | Verse 26] And they were astonished exceedingly, saying among themselves, Then who can be saved?
[ASV | EN | NT | Mark | Chapter 10 | Verse 27] And Jesus looking upon them saith, With men it is impossible, but not with God: for all things are possible with God.
[ASV | EN | NT | Mark | Chapter 10 | Verse 28] Peter began to say unto him, Lo, we have left all, and followed thee.
[ASV | EN | NT | Mark | Chapter 10 | Verse 29] Jesus answered and said, Verily I say unto you, There is no man that hath left house, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my sake, and for the gospel’s sake,
[ASV | EN | NT | Mark | Chapter 10 | Verse 30] but he shall receive a hundredfold now in this time, houses, and brethren, and sisters, and mothers, and children, and lands, with persecutions; and in the world to come eternal life.
[ASV | EN | NT | Mark | Chapter 10 | Verse 31] But many that are first shall be last; and last first.
[ASV | EN | NT | Mark | Chapter 10 | Verse 32] And they were on the way, going up to Jerusalem; and Jesus was going before them: and they were amazed; and as they followed, they were afraid. And he took again the twelve, and began to tell them the things that were to happen unto him,
[ASV | EN | NT | Mark | Chapter 10 | Verse 33] saying, Behold, we go up to Jerusalem; and the Son of man shall be delivered unto the chief priests and scribes; and they shall condemn him to death, and shall deliver him unto the Gentiles:
[ASV | EN | NT | Mark | Chapter 10 | Verse 34] and they shall mock him, and shall scourge him, and shall spit upon him, and shall kill him; and the third day he shall rise again.
[ASV | EN | NT | Mark | Chapter 10 | Verse 35] And there come near unto him James and John, the sons of Zebedee, saying, Teacher, we would that thou shouldest do for us whatsoever we shall ask.
[ASV | EN | NT | Mark | Chapter 10 | Verse 36] And he said unto them, What would ye that I should do for you?
[ASV | EN | NT | Mark | Chapter 10 | Verse 37] And they said unto him, Grant unto us that we may sit, one on thy right hand, and one on thy left hand, in thy glory.
[ASV | EN | NT | Mark | Chapter 10 | Verse 38] But Jesus said unto them, Ye know not what ye ask. Are ye able to drink the cup that I drink? and to be baptized with the baptism that I am baptized with?
[ASV | EN | NT | Mark | Chapter 10 | Verse 39] And they said unto him, We are able. And Jesus said unto them, The cup that I drink indeed ye shall drink; and with the baptism that I am baptized withal shall ye be baptized:
[ASV | EN | NT | Mark | Chapter 10 | Verse 40] but to sit on my right hand and on my left hand is not mine to give; but it is for them for whom it hath been prepared.
[ASV | EN | NT | Mark | Chapter 10 | Verse 41] And when the ten heard it, they began to be moved with indignation concerning James and John.
[ASV | EN | NT | Mark | Chapter 10 | Verse 42] But Jesus called them to him, and saith unto them, Ye know that they who are accounted to rule over the Gentiles lord it over them; and their great ones exercise authority over them.
[ASV | EN | NT | Mark | Chapter 10 | Verse 43] But it shall not be so among you: but whosoever would become great among you, shall be your minister;
[ASV | EN | NT | Mark | Chapter 10 | Verse 44] and whosoever would become first among you, shall be servant of all.
[ASV | EN | NT | Mark | Chapter 10 | Verse 45] For the Son of man also came not to be ministered unto, but to minister, and to give his life a ransom for many.
[ASV | EN | NT | Mark | Chapter 10 | Verse 46] And they come to Jericho: and as he went out from Jericho, with his disciples and a great multitude, a son of Timaeus, Bartimaeus the blind man, was sitting by the wayside begging.
[ASV | EN | NT | Mark | Chapter 10 | Verse 47] And when he heard that it was Jesus of Nazareth, he began to cry out, and say, Son of David, Jesus, have mercy on me.
[ASV | EN | NT | Mark | Chapter 10 | Verse 48] And many rebuked him, that he should hold his peace: but he cried out the more a great deal, Thou son of David, have mercy on me.
[ASV | EN | NT | Mark | Chapter 10 | Verse 49] And Jesus stood still, and commanded him to be called. And they call the blind man, saying unto him, Be of good cheer: rise, he calleth thee.
[ASV | EN | NT | Mark | Chapter 10 | Verse 50] And he, casting away his garment, rose up, and came to Jesus.
[ASV | EN | NT | Mark | Chapter 10 | Verse 51] And Jesus answereth, and saith unto him, What wilt thou that I should do unto thee? And the blind man said unto him, Rabboni, that I may receive my sight.
[ASV | EN | NT | Mark | Chapter 10 | Verse 52] And Jesus said unto him, Go thy way; thy faith hath made thee whole. And straightaway he received his sight, and followed Jesus in the way.
