[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 1] For as touching the ministering to the saints, it is superfluous for me to write to you:
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 2] for I know your readiness, of which I glory on your behalf to them of Macedonia, that Achaia hath been prepared for a year past; and the zeal from you hath stirred up very many of them.
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 3] But I have sent the brethren, that our glorying on your behalf may not be made void in this respect; that, even as I said, ye may be prepared:
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 4] lest by any means, if there come with me any of Macedonia and find you unprepared, we (that we say not, ye) should be put to shame in this confidence of glorying.
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 5] I thought it necessary therefore to entreat the brethren, that they would go before unto you, and make up beforehand your fore-announced bounty, that the same might be ready as a matter of bounty, and not of extortion.
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 6] But this I say, He that soweth sparingly shall reap also sparingly; and he that soweth bountifully shall reap also bountifully.
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 7] Let each man do according as he purposeth in his heart: not grudgingly, or of necessity: for God loveth a cheerful giver.
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 8] And God is able to make all grace abound unto you; that ye, having always all sufficiency in everything, may abound unto every good work:
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 9] as it is written, He hath scattered abroad, he hath given to the poor; His righteousness abideth forever.
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 10] And he that supplieth seed to the sower also supply bread for food, and multiply your seed for sowing, and increase the fruits of your righteousness:
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 11] ye being enriched in everything unto all liberality, which worketh through us thanksgiving to God.
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 12] For the ministration of this service not only filleth up the measure of the wants of the saints, but aboundeth also through many thanksgivings unto God;
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 13] seeing that through the proving of you by this ministration they glorify God for the obedience of your confession unto the gospel of Christ, and for the liberality of your contribution unto them and unto all;
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 14] while they themselves also, with supplication on your behalf, long after you by reason of the exceeding grace of God in you.
[ASV | EN | NT | 2 Corinthians | Chapter 9 | Verse 15] Now thanks be to God for his unspeakable gift.
