[ASV | EN | OT | Exodus | Chapter 27 | Verse 1] And thou shalt make the altar of acacia wood, five cubits long, and five cubits broad; the altar shall be foursquare: and the height thereof shall be three cubits.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 2] And thou shalt make the horns of it upon the four corners thereof; the horns thereof shall be of one piece with it: and thou shalt overlay it with brass.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 3] And thou shalt make its pots to take away its ashes, and its shovels, and its basins, and its fleshhooks, and its firepans: all the vessels thereof thou shalt make of brass.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 4] And thou shalt make for it a grating of network of brass: and upon the net shalt thou make four brazen rings in the four corners thereof.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 5] And thou shalt put it under the ledge round the altar beneath, that the net may reach halfway up the altar.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 6] And thou shalt make staves for the altar, staves of acacia wood, and overlay them with brass.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 7] And the staves thereof shall be put into the rings, and the staves shall be upon the two sides of the altar, in bearing it.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 8] Hollow with planks shalt thou make it: as it hath been shown thee in the mount, so shall they make it.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 9] And thou shalt make the court of the tabernacle: for the south side southward there shall be hangings for the court of fine twined linen a hundred cubits long for one side:
[ASV | EN | OT | Exodus | Chapter 27 | Verse 10] and the pillars thereof shall be twenty, and their sockets twenty, of brass; the hooks of the pillars and their fillets shall be of silver.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 11] And likewise for the north side in length there shall be hangings a hundred cubits long, and the pillars thereof twenty, and their sockets twenty, of brass; the hooks of the pillars, and their fillets, of silver.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 12] And for the breadth of the court on the west side shall be hangings of fifty cubits; their pillars ten, and their sockets ten.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 13] And the breadth of the court on the east side eastward shall be fifty cubits.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 14] The hangings for the one side of the gate shall be fifteen cubits; their pillars three, and their sockets three.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 15] And for the other side shall be hangings of fifteen cubits; their pillars three, and their sockets three.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 16] And for the gate of the court shall be a screen of twenty cubits, of blue, and purple, and scarlet, and fine twined linen, the work of the embroiderer; their pillars four, and their sockets four.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 17] All the pillars of the court round about shall be filleted with silver; their hooks of silver, and their sockets of brass.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 18] The length of the court shall be a hundred cubits, and the breadth fifty everywhere, and the height five cubits, of fine twined linen, and their sockets of brass.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 19] All the instruments of the tabernacle in all the service thereof, and all the pins thereof, and all the pins of the court, shall be of brass.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 20] And thou shalt command the children of Israel, that they bring unto thee pure olive oil beaten for the light, to cause a lamp to burn continually.
[ASV | EN | OT | Exodus | Chapter 27 | Verse 21] In the tent of meeting, without the veil which is before the testimony, Aaron and his sons shall keep it in order from evening to morning before Jehovah: it shall be a statute forever throughout their generations on the behalf of the children of Israel.
