[ASV | EN | OT | Job | Chapter 15 | Verse 1] Then answered Eliphaz the Temanite, and said,
[ASV | EN | OT | Job | Chapter 15 | Verse 2] Should a wise man make answer with vain knowledge, And fill himself with the east wind?
[ASV | EN | OT | Job | Chapter 15 | Verse 3] Should he reason with unprofitable talk, Or with speeches wherewith he can do no good?
[ASV | EN | OT | Job | Chapter 15 | Verse 4] Yea, thou doest away with fear, And hinderest devotion before God.
[ASV | EN | OT | Job | Chapter 15 | Verse 5] For thine iniquity teacheth thy mouth, And thou choosest the tongue of the crafty.
[ASV | EN | OT | Job | Chapter 15 | Verse 6] Thine own mouth condemneth thee, and not I; Yea, thine own lips testify against thee.
[ASV | EN | OT | Job | Chapter 15 | Verse 7] Art thou the first man that was born? Or wast thou brought forth before the hills?
[ASV | EN | OT | Job | Chapter 15 | Verse 8] Hast thou heard the secret counsel of God? And dost thou limit wisdom to thyself?
[ASV | EN | OT | Job | Chapter 15 | Verse 9] What knowest thou, that we know not? What understandest thou, which is not in us?
[ASV | EN | OT | Job | Chapter 15 | Verse 10] With us are both the gray-headed and the very aged men, Much elder than thy father.
[ASV | EN | OT | Job | Chapter 15 | Verse 11] Are the consolations of God too small for thee, Even the word that is gentle toward thee?
[ASV | EN | OT | Job | Chapter 15 | Verse 12] Why doth thy heart carry thee away? And why do thine eyes flash,
[ASV | EN | OT | Job | Chapter 15 | Verse 13] That against God thou turnest thy spirit, And lettest words go out of thy mouth?
[ASV | EN | OT | Job | Chapter 15 | Verse 14] What is man, that he should be clean? And he that is born of a woman, that he should be righteous?
[ASV | EN | OT | Job | Chapter 15 | Verse 15] Behold, he putteth no trust in his holy ones; Yea, the heavens are not clean in his sight:
[ASV | EN | OT | Job | Chapter 15 | Verse 16] How much less one that is abominable and corrupt, A man that drinketh iniquity like water!
[ASV | EN | OT | Job | Chapter 15 | Verse 17] I will show thee, hear thou me; And that which I have seen I will declare
[ASV | EN | OT | Job | Chapter 15 | Verse 18] (Which wise men have told From their fathers, and have not hidden it;
[ASV | EN | OT | Job | Chapter 15 | Verse 19] Unto whom alone the land was given, And no stranger passed among them):
[ASV | EN | OT | Job | Chapter 15 | Verse 20] The wicked man travaileth with pain all his days, Even the number of years that are laid up for the oppressor.
[ASV | EN | OT | Job | Chapter 15 | Verse 21] A sound of terrors is in his ears; In prosperity the destroyer shall come upon him.
[ASV | EN | OT | Job | Chapter 15 | Verse 22] He believeth not that he shall return out of darkness, And he is waited for of the sword.
[ASV | EN | OT | Job | Chapter 15 | Verse 23] He wandereth abroad for bread, saying, Where is it? He knoweth that the day of darkness is ready at his hand.
[ASV | EN | OT | Job | Chapter 15 | Verse 24] Distress and anguish make him afraid; They prevail against him, as a king ready to the battle.
[ASV | EN | OT | Job | Chapter 15 | Verse 25] Because he hath stretched out his hand against God, And behaveth himself proudly against the Almighty;
[ASV | EN | OT | Job | Chapter 15 | Verse 26] He runneth upon him with a stiff neck, With the thick bosses of his bucklers;
[ASV | EN | OT | Job | Chapter 15 | Verse 27] Because he hath covered his face with his fatness, And gathered fat upon his loins;
[ASV | EN | OT | Job | Chapter 15 | Verse 28] And he hath dwelt in desolate cities, In houses which no man inhabited, Which were ready to become heaps;
[ASV | EN | OT | Job | Chapter 15 | Verse 29] He shall not be rich, neither shall his substance continue, Neither shall their possessions be extended on the earth.
[ASV | EN | OT | Job | Chapter 15 | Verse 30] He shall not depart out of darkness; The flame shall dry up his branches, And by the breath of God’s mouth shall he go away.
[ASV | EN | OT | Job | Chapter 15 | Verse 31] Let him not trust in vanity, deceiving himself; For vanity shall be his recompense.
[ASV | EN | OT | Job | Chapter 15 | Verse 32] It shall be accomplished before his time, And his branch shall not be green.
[ASV | EN | OT | Job | Chapter 15 | Verse 33] He shall shake off his unripe grape as the vine, And shall cast off his flower as the olive tree.
[ASV | EN | OT | Job | Chapter 15 | Verse 34] For the company of the godless shall be barren, And fire shall consume the tents of bribery.
[ASV | EN | OT | Job | Chapter 15 | Verse 35] They conceive mischief, and bring forth iniquity, And their heart prepareth deceit.
