[ASV | EN | OT | Job | Chapter 42 | Verse 1] Then Job answered Jehovah, and said,
[ASV | EN | OT | Job | Chapter 42 | Verse 2] I know that thou canst do all things, And that no purpose of thine can be restrained.
[ASV | EN | OT | Job | Chapter 42 | Verse 3] Who is this that hideth counsel without knowledge? Therefore have I uttered that which I understood not, Things too wonderful for me, which I knew not.
[ASV | EN | OT | Job | Chapter 42 | Verse 4] Hear, I beseech thee, and I will speak; I will demand of thee, and declare thou unto me.
[ASV | EN | OT | Job | Chapter 42 | Verse 5] I had heard of thee by the hearing of the ear; But now mine eye seeth thee:
[ASV | EN | OT | Job | Chapter 42 | Verse 6] Wherefore I abhor myself, And repent in dust and ashes.
[ASV | EN | OT | Job | Chapter 42 | Verse 7] And it was so, that, after Jehovah had spoken these words unto Job, Jehovah said to Eliphaz the Temanite, My wrath is kindled against thee, and against thy two friends; for ye have not spoken of me the thing that is right, as my servant Job hath.
[ASV | EN | OT | Job | Chapter 42 | Verse 8] Now therefore, take unto you seven bullocks and seven rams, and go to my servant Job, and offer up for yourselves a burnt offering; and my servant Job shall pray for you; for him will I accept, that I deal not with you after your folly; for ye have not spoken of me the thing that is right, as my servant Job hath.
[ASV | EN | OT | Job | Chapter 42 | Verse 9] So Eliphaz the Temanite and Bildad the Shuhite and Zophar the Naamathite went, and did according as Jehovah commanded them: and Jehovah accepted Job.
[ASV | EN | OT | Job | Chapter 42 | Verse 10] And Jehovah turned the captivity of Job, when he prayed for his friends: and Jehovah gave Job twice as much as he had before.
[ASV | EN | OT | Job | Chapter 42 | Verse 11] Then came there unto him all his brethren, and all his sisters, and all they that had been of his acquaintance before, and did eat bread with him in his house: and they bemoaned him, and comforted him concerning all the evil that Jehovah had brought upon him: every man also gave him a piece of money, and every one a ring of gold.
[ASV | EN | OT | Job | Chapter 42 | Verse 12] So Jehovah blessed the latter end of Job more than his beginning: and he had fourteen thousand sheep, and six thousand camels, and a thousand yoke of oxen, and a thousand she-asses.
[ASV | EN | OT | Job | Chapter 42 | Verse 13] He had also seven sons and three daughters.
[ASV | EN | OT | Job | Chapter 42 | Verse 14] And he called the name of the first, Jemimah; and the name of the second, Keziah; and the name of the third, Keren-happuch.
[ASV | EN | OT | Job | Chapter 42 | Verse 15] And in all the land were no women found so fair as the daughters of Job: and their father gave them inheritance among their brethren.
[ASV | EN | OT | Job | Chapter 42 | Verse 16] And after this Job lived a hundred and forty years, and saw his sons, and his sons’ sons, even four generations.
[ASV | EN | OT | Job | Chapter 42 | Verse 17] So Job died, being old and full of days.
