[ASV | EN | OT | Psalms | Chapter 59 | Verse 1] Deliver me from mine enemies, O my God: Set me on high from them that rise up against me.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 2] Deliver me from the workers of iniquity, And save me from the bloodthirsty men.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 3] For, lo, they lie in wait for my soul; The mighty gather themselves together against me: Not for my transgression, nor for my sin, O Jehovah.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 4] They run and prepare themselves without my fault: Awake thou to help me, and behold.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 5] Even thou, O Jehovah God of hosts, the God of Israel, Arise to visit all the nations: Be not merciful to any wicked transgressors. Selah
[ASV | EN | OT | Psalms | Chapter 59 | Verse 6] They return at evening, they howl like a dog, And go round about the city.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 7] Behold, they belch out with their mouth; Swords are in their lips: For who, say they, doth hear?
[ASV | EN | OT | Psalms | Chapter 59 | Verse 8] But thou, O Jehovah, wilt laugh at them; Thou wilt have all the nations in derision.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 9] Because of his strength I will give heed unto thee; For God is my high tower.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 10] My God with his lovingkindness will meet me: God will let me see my desire upon mine enemies.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 11] Slay them not, lest my people forget: Scatter them by thy power, and bring them down, O Lord our shield.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 12] For the sin of their mouth, and the words of their lips, Let them even be taken in their pride, And for cursing and lying which they speak.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 13] Consume them in wrath, consume them, so that they shall be no more: And let them know that God ruleth in Jacob, Unto the ends of the earth. Selah
[ASV | EN | OT | Psalms | Chapter 59 | Verse 14] And at evening let them return, let them howl like a dog, And go round about the city.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 15] They shall wander up and down for food, And tarry all night if they be not satisfied.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 16] But I will sing of thy strength; Yea, I will sing aloud of thy lovingkindness in the morning: For thou hast been my high tower, And a refuge in the day of my distress.
[ASV | EN | OT | Psalms | Chapter 59 | Verse 17] Unto thee, O my strength, will I sing praises: For God is my high tower, the God of my mercy.
