[BBE | EN | NT | Luke | Chapter 19 | Verse 1] And he went into Jericho, and when he was going through it,
[BBE | EN | NT | Luke | Chapter 19 | Verse 2] A man, named Zacchaeus, who was the chief tax-farmer, and a man of wealth,
[BBE | EN | NT | Luke | Chapter 19 | Verse 3] Made an attempt to get a view of Jesus, and was not able to do so, because of the people, for he was a small man.
[BBE | EN | NT | Luke | Chapter 19 | Verse 4] And he went quickly in front of them and got up into a tree to see him, for he was going that way.
[BBE | EN | NT | Luke | Chapter 19 | Verse 5] And when Jesus came to the place, looking up, he said to him, Zacchaeus, be quick and come down, for I am coming to your house today.
[BBE | EN | NT | Luke | Chapter 19 | Verse 6] And he came down quickly, and took him into his house with joy.
[BBE | EN | NT | Luke | Chapter 19 | Verse 7] And when they saw it, they were all angry, saying, He has gone into the house of a sinner.
[BBE | EN | NT | Luke | Chapter 19 | Verse 8] And Zacchaeus, waiting before him, said to the Lord, See, Lord, half of my goods I give to the poor, and if I have taken anything from anyone wrongly, I give him back four times as much.
[BBE | EN | NT | Luke | Chapter 19 | Verse 9] And Jesus said to him, Today salvation has come to this house, for even he is a son of Abraham.
[BBE | EN | NT | Luke | Chapter 19 | Verse 10] For the Son of man came to make search for those who are wandering from the way, and to be their Saviour.
[BBE | EN | NT | Luke | Chapter 19 | Verse 11] And while they were giving ear to these words, he made another story for them, because he was near Jerusalem, and because they were of the opinion that the kingdom of God was coming straight away.
[BBE | EN | NT | Luke | Chapter 19 | Verse 12] So he said, A certain man of high birth went into a far-away country to get a kingdom for himself, and to come back.
[BBE | EN | NT | Luke | Chapter 19 | Verse 13] And he sent for ten of his servants and gave them ten pounds and said to them, Do business with this till I come.
[BBE | EN | NT | Luke | Chapter 19 | Verse 14] But his people had no love for him, and sent representatives after him, saying, We will not have this man for our ruler.
[BBE | EN | NT | Luke | Chapter 19 | Verse 15] And when he came back again, having got his kingdom, he gave orders for those servants to whom he had given the money to come to him, so that he might have an account of what business they had done.
[BBE | EN | NT | Luke | Chapter 19 | Verse 16] And the first came before him, saying, Lord, your pound has made ten pounds.
[BBE | EN | NT | Luke | Chapter 19 | Verse 17] And he said to him, You have done well, O good servant: because you have done well in a small thing you will have authority over ten towns.
[BBE | EN | NT | Luke | Chapter 19 | Verse 18] And another came, saying, Your pound has made five pounds.
[BBE | EN | NT | Luke | Chapter 19 | Verse 19] And he said, You will be ruler over five towns.
[BBE | EN | NT | Luke | Chapter 19 | Verse 20] And another came, saying, Lord, here is your pound, which I put away in a cloth;
[BBE | EN | NT | Luke | Chapter 19 | Verse 21] Because I was in fear of you, for you are a hard man: you take up what you have not put down, and get in grain where you have not put seed.
[BBE | EN | NT | Luke | Chapter 19 | Verse 22] He said to him, By the words of your mouth you will be judged, you bad servant. You had knowledge that I am a hard man, taking up what I have not put down and getting in grain where I have not put seed;
[BBE | EN | NT | Luke | Chapter 19 | Verse 23] Why then did you not put my money in a bank, so that when I came I would get it back with interest?
[BBE | EN | NT | Luke | Chapter 19 | Verse 24] And he said to the others who were near, Take the pound away from him, and give it to the man who has ten.
[BBE | EN | NT | Luke | Chapter 19 | Verse 25] And they say to him, Lord, he has ten pounds.
[BBE | EN | NT | Luke | Chapter 19 | Verse 26] And I say to you that to everyone who has, more will be given, but from him who has not, even what he has will be taken away.
[BBE | EN | NT | Luke | Chapter 19 | Verse 27] And as for those who were against me, who would not have me for their ruler, let them come here, and be put to death before me.
[BBE | EN | NT | Luke | Chapter 19 | Verse 28] And when he had said this, he went on in front of them, going up to Jerusalem.
[BBE | EN | NT | Luke | Chapter 19 | Verse 29] And it came about that when he got near Beth-phage and Bethany by the mountain which is named the Mountain of Olives, he sent two of the disciples,
[BBE | EN | NT | Luke | Chapter 19 | Verse 30] Saying, Go into the little town in front of you, and on going in you will see a young ass fixed with a cord, on which no man has ever been seated; let him loose and take him.
[BBE | EN | NT | Luke | Chapter 19 | Verse 31] And if anyone says to you, Why are you taking him? say, The Lord has need of him.
[BBE | EN | NT | Luke | Chapter 19 | Verse 32] And those whom he sent went away, and it was as he said.
[BBE | EN | NT | Luke | Chapter 19 | Verse 33] And when they were getting the young ass, the owners of it said to them, Why are you taking the young ass?
[BBE | EN | NT | Luke | Chapter 19 | Verse 34] And they said, The Lord has need of him.
[BBE | EN | NT | Luke | Chapter 19 | Verse 35] And they took him to Jesus, and they put their clothing on the ass, and Jesus got on to him.
[BBE | EN | NT | Luke | Chapter 19 | Verse 36] And while he went on his way they put their clothing down on the road in front of him.
[BBE | EN | NT | Luke | Chapter 19 | Verse 37] And when he came near the foot of the Mountain of Olives, all the disciples with loud voices gave praise to God with joy, because of all the great works which they had seen;
[BBE | EN | NT | Luke | Chapter 19 | Verse 38] Saying, A blessing on the King who comes in the name of the Lord; peace in heaven and glory in the highest.
[BBE | EN | NT | Luke | Chapter 19 | Verse 39] And some of the Pharisees among the people said to him, Master, make your disciples be quiet.
[BBE | EN | NT | Luke | Chapter 19 | Verse 40] And he said in answer, I say to you, if these men keep quiet, the very stones will be crying out.
[BBE | EN | NT | Luke | Chapter 19 | Verse 41] And when he got near and saw the town, he was overcome with weeping for it,
