[BBE | EN | NT | John | Chapter 1 | Verse 1] From the first he was the Word, and the Word was in relation with God and was God.
[BBE | EN | NT | John | Chapter 1 | Verse 2] This Word was from the first in relation with God.
[BBE | EN | NT | John | Chapter 1 | Verse 3] All things came into existence through him, and without him nothing was.
[BBE | EN | NT | John | Chapter 1 | Verse 4] What came into existence in him was life, and the life was the light of men.
[BBE | EN | NT | John | Chapter 1 | Verse 5] And the light goes on shining in the dark; it is not overcome by the dark.
[BBE | EN | NT | John | Chapter 1 | Verse 6] There was a man sent from God, whose name was John.
[BBE | EN | NT | John | Chapter 1 | Verse 7] He came for witness, to give witness about the light, so that all men might have faith through him.
[BBE | EN | NT | John | Chapter 1 | Verse 8] He himself was not the light: he was sent to give witness about the light.
[BBE | EN | NT | John | Chapter 1 | Verse 9] The true light, which gives light to every man, was then coming into the world.
[BBE | EN | NT | John | Chapter 1 | Verse 10] He was in the world, the world which came into being through him, but the world had no knowledge of him.
[BBE | EN | NT | John | Chapter 1 | Verse 11] He came to the things which were his and his people did not take him to their hearts.
[BBE | EN | NT | John | Chapter 1 | Verse 12] To all those who did so take him, however, he gave the right of becoming children of God — that is, to those who had faith in his name:
[BBE | EN | NT | John | Chapter 1 | Verse 13] Whose birth was from God and not from blood, or from an impulse of the flesh and man's desire.
[BBE | EN | NT | John | Chapter 1 | Verse 14] And so the Word became flesh and took a place among us for a time; and we saw his glory — such glory as is given to an only son by his father — saw it to be true and full of grace.
[BBE | EN | NT | John | Chapter 1 | Verse 15] John gave witness about him, crying, This is he of whom I said, He who is coming after me is put over me because he was in existence before me.
[BBE | EN | NT | John | Chapter 1 | Verse 16] From his full measure we have all been given grace on grace.
[BBE | EN | NT | John | Chapter 1 | Verse 17] For the law was given through Moses; grace and the true way of life are ours through Jesus Christ.
[BBE | EN | NT | John | Chapter 1 | Verse 18] No man has seen God at any time; the only Son, who is on the breast of the Father, he has made clear what God is.
[BBE | EN | NT | John | Chapter 1 | Verse 19] And this is the witness of John when the Jews sent priests and Levites from Jerusalem to him with the question, Who are you?
[BBE | EN | NT | John | Chapter 1 | Verse 20] He said quite openly and straightforwardly, I am not the Christ.
[BBE | EN | NT | John | Chapter 1 | Verse 21] And they said to him, What then? Are you Elijah? And he said, I am not. Are you the prophet? And his answer was, I am not.
[BBE | EN | NT | John | Chapter 1 | Verse 22] So they said to him, Who are you then? We have to give some answer to those who sent us. What have you to say about yourself?
[BBE | EN | NT | John | Chapter 1 | Verse 23] He said, I am the voice of one crying in the waste land, Make straight the way of the Lord, as said Isaiah the prophet.
[BBE | EN | NT | John | Chapter 1 | Verse 24] Those who had been sent came from the Pharisees.
[BBE | EN | NT | John | Chapter 1 | Verse 25] And they put this question to him, saying, Why then are you giving baptism if you are not the Christ, or Elijah, or the prophet?
[BBE | EN | NT | John | Chapter 1 | Verse 26] John's answer was: I give baptism with water; but there is one among you of whom you have no knowledge;
[BBE | EN | NT | John | Chapter 1 | Verse 27] It is he who is coming after me; I am not good enough to undo his shoes.
[BBE | EN | NT | John | Chapter 1 | Verse 28] These things took place at Bethany on the other side of the Jordan, where John was giving baptism.
[BBE | EN | NT | John | Chapter 1 | Verse 29] The day after, John sees Jesus coming to him and says, See, here is the Lamb of God who takes away the sin of the world!
[BBE | EN | NT | John | Chapter 1 | Verse 30] This is he of whom I said, One is coming after me who is put over me because he was in existence before me.
[BBE | EN | NT | John | Chapter 1 | Verse 31] I myself had no knowledge of him, but I came giving baptism with water so that he might be seen openly by Israel.
[BBE | EN | NT | John | Chapter 1 | Verse 32] And John gave this witness, saying, I saw the Spirit coming down from heaven like a dove and resting on him.
[BBE | EN | NT | John | Chapter 1 | Verse 33] I had no knowledge who he was, but he who sent me to give baptism with water said to me, The one on whom you see the Spirit coming down and resting, it is he who gives baptism with the Holy Spirit.
[BBE | EN | NT | John | Chapter 1 | Verse 34] This I saw myself and my witness is that he is the Son of God.
[BBE | EN | NT | John | Chapter 1 | Verse 35] The day after, John was there again with two of his disciples;
[BBE | EN | NT | John | Chapter 1 | Verse 36] And looking at Jesus while he was walking he said, See, there is the Lamb of God!
[BBE | EN | NT | John | Chapter 1 | Verse 37] Hearing what he said, the two disciples went after Jesus.
[BBE | EN | NT | John | Chapter 1 | Verse 38] And Jesus, turning round, saw them coming after him and said to them, What are you looking for? They said to him, Rabbi (which is to say, Master), where are you living?
[BBE | EN | NT | John | Chapter 1 | Verse 39] He said to them, Come and see. They went with him then and saw where he was living; and they were with him all that day: it was then about the tenth hour of the day.
[BBE | EN | NT | John | Chapter 1 | Verse 40] Andrew, Simon Peter's brother, was one of the two men who, hearing what John said, went after Jesus.
[BBE | EN | NT | John | Chapter 1 | Verse 41] Early in the morning he came across his brother and said to him, We have made discovery! It is the Messiah! (which is to say, the Christ).
[BBE | EN | NT | John | Chapter 1 | Verse 42] And he took him to Jesus. Looking at him fixedly Jesus said, You are Simon, the son of John; your name will be Cephas (which is to say, Peter).
[BBE | EN | NT | John | Chapter 1 | Verse 43] The day after this, Jesus had a desire to go into Galilee. He came across Philip and said to him, Come and be my disciple.
[BBE | EN | NT | John | Chapter 1 | Verse 44] Now Philip's town was Beth-saida, where Andrew and Peter came from.
[BBE | EN | NT | John | Chapter 1 | Verse 45] Philip came across Nathanael and said to him, We have made a discovery! It is he of whom Moses, in the law, and the prophets were writing, Jesus of Nazareth, the son of Joseph.
[BBE | EN | NT | John | Chapter 1 | Verse 46] Nazareth! said Nathanael, Is it possible for any good to come out of Nazareth? Philip said to him, Come and see.
[BBE | EN | NT | John | Chapter 1 | Verse 47] Jesus saw Nathanael coming to him and said of him, See, here is a true son of Israel in whom there is nothing false.
[BBE | EN | NT | John | Chapter 1 | Verse 48] Nathanael said to him, Where did you get knowledge of me? In answer Jesus said, Before Philip was talking with you, while you were still under the fig-tree, I saw you.
[BBE | EN | NT | John | Chapter 1 | Verse 49] Nathanael said to him, Rabbi, you are the Son of God, you are King of Israel!
[BBE | EN | NT | John | Chapter 1 | Verse 50] In answer Jesus said to him, You have faith because I said to you, I saw you under the fig-tree. You will see greater things than these.
[BBE | EN | NT | John | Chapter 1 | Verse 51] And he said to him, Truly I say to you all, You will see heaven opening and God's angels going up and coming down on the Son of man.
