[BBE | EN | NT | Colossians | Chapter 1 | Verse 1] Paul, an Apostle of Jesus Christ, by the purpose of God, and Timothy our brother,
[BBE | EN | NT | Colossians | Chapter 1 | Verse 2] To the saints and true brothers in Christ at Colossae: Grace to you and peace from God our Father.
[BBE | EN | NT | Colossians | Chapter 1 | Verse 3] We give praise to God the Father of our Lord Jesus Christ, making prayer for you at all times,
[BBE | EN | NT | Colossians | Chapter 1 | Verse 4] After hearing of your faith in Christ Jesus, and of the love which you have for all the saints,
[BBE | EN | NT | Colossians | Chapter 1 | Verse 5] Through the hope which is in store for you in heaven; knowledge of which was given to you before in the true word of the good news,
[BBE | EN | NT | Colossians | Chapter 1 | Verse 6] Which has come to you; and which in all the world is giving fruit and increase, as it has done in you from the day when it came to your ears and you had true knowledge of the grace of God;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 7] As it was given to you by Epaphras, our well-loved helper, who is a true servant of Christ for us,
[BBE | EN | NT | Colossians | Chapter 1 | Verse 8] And who, himself, made clear to us your love in the Spirit.
[BBE | EN | NT | Colossians | Chapter 1 | Verse 9] For this reason, we, from the day when we had word of it, keep on in prayer for you, that you may be full of the knowledge of his purpose, with all wisdom and experience of the Spirit,
[BBE | EN | NT | Colossians | Chapter 1 | Verse 10] Living uprightly in the approval of the Lord, giving fruit in every good work, and increasing in the knowledge of God;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 11] Full of strength in the measure of the great power of his glory, so that you may undergo all troubles with joy;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 12] Giving praise to the Father who has given us a part in the heritage of the saints in light;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 13] Who has made us free from the power of evil and given us a place in the kingdom of the Son of his love;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 14] In whom we have our salvation, the forgiveness of sins:
[BBE | EN | NT | Colossians | Chapter 1 | Verse 15] Who is the image of the unseen God coming into existence before all living things;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 16] For by him all things were made, in heaven and on earth, things seen and things unseen, authorities, lords, rulers, and powers; all things were made by him and for him;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 17] He is before all things, and in him all things have being.
[BBE | EN | NT | Colossians | Chapter 1 | Verse 18] And he is the head of the body, the church: the starting point of all things, the first to come again from the dead; so that in all things he might have the chief place.
[BBE | EN | NT | Colossians | Chapter 1 | Verse 19] For God in full measure was pleased to be in him;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 20] Through him uniting all things with himself, having made peace through the blood of his cross; through him, I say, uniting all things which are on earth or in heaven.
[BBE | EN | NT | Colossians | Chapter 1 | Verse 21] And you, who in the past were cut off and at war with God in your minds through evil works, he has now made one
[BBE | EN | NT | Colossians | Chapter 1 | Verse 22] In the body of his flesh through death, so that you might be holy and without sin and free from all evil before him:
[BBE | EN | NT | Colossians | Chapter 1 | Verse 23] If you keep yourselves safely based in the faith, not moved from the hope of the good news which came to you, and which was given to every living being under heaven; of which I, Paul, was made a servant.
[BBE | EN | NT | Colossians | Chapter 1 | Verse 24] Now I have joy in my pain because of you, and in my flesh I undergo whatever is still needed to make the sorrows of Christ complete, for the salvation of his body, the church;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 25] Of which I became a servant by the purpose of God which was given to me for you, to give effect to the word of God,
[BBE | EN | NT | Colossians | Chapter 1 | Verse 26] The secret which has been kept from all times and generations, but has now been made clear to his saints,
[BBE | EN | NT | Colossians | Chapter 1 | Verse 27] To whom God was pleased to give knowledge of the wealth of the glory of this secret among the Gentiles, which is Christ in you, the hope of glory:
[BBE | EN | NT | Colossians | Chapter 1 | Verse 28] Whom we are preaching; guiding and teaching every man in all wisdom, so that every man may be complete in Christ;
[BBE | EN | NT | Colossians | Chapter 1 | Verse 29] And for this purpose I am working, using all my strength by the help of his power which is working in me strongly.
