[ERV | EN | OT | Numbers | Chapter 8 | Verse 1] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Numbers | Chapter 8 | Verse 2] Speak unto Aaron, and say unto him, When thou lightest the lamps, the seven lamps shall give light in front of the candlestick.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 3] And Aaron did so; he lighted the lamps thereof so as to give light in front of the candlestick, as the LORD commanded Moses.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 4] And this was the work of the candlestick, beaten work of gold; unto the base thereof, and unto the flowers thereof, it was beaten work: according unto the pattern which the LORD had shewed Moses, so he made the candlestick.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 5] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Numbers | Chapter 8 | Verse 6] Take the Levites from among the children of Israel, and cleanse them.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 7] And thus shalt thou do unto them, to cleanse them: sprinkle the water of expiation upon them, and let them cause a razor to pass over all their flesh, and let them wash their clothes, and cleanse themselves.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 8] Then let them take a young bullock, and its meal offering, fine flour mingled with oil, and another young bullock shalt thou take for a sin offering.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 9] And thou shalt present the Levites before the tent of meeting: and thou shalt assemble the whole congregation of the children of Israel:
[ERV | EN | OT | Numbers | Chapter 8 | Verse 10] and thou shalt present the Levites before the LORD: and the children of Israel shall lay their hands upon the Levites:
[ERV | EN | OT | Numbers | Chapter 8 | Verse 11] and Aaron shall offer the Levites before the LORD for a wave offering, on the behalf of the children of Israel, that they may be to do the service of the LORD.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 12] And the Levites shall lay their hands upon the heads of the bullocks: and offer thou the one for a sin offering, and the other for a burnt offering, unto the LORD, to make atonement for the Levites.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 13] And thou shalt set the Levites before Aaron, and before his sons, and offer them for a wave offering unto the LORD.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 14] Thus shalt thou separate the Levites from among the children of Israel: and the Levites shall be mine.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 15] And after that shall the Levites go in to do the service of the tent of meeting: and thou shalt cleanse them, and offer them for a wave offering.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 16] For they are wholly given unto me from among the children of Israel; instead of all that openeth the womb, even the firstborn of all the children of Israel, have I taken them unto me.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 17] For all the firstborn among the children of Israel are mine, both man and beast: on the day that I smote all the firstborn in the land of Egypt I sanctified them for myself.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 18] And I have taken the Levites instead of all the firstborn among the children of Israel.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 19] And I have given the Levites as a gift to Aaron and to his sons from among the children of Israel, to do the service of the children of Israel in the tent of meeting, and to make atonement for the children of Israel: that there be no plague among the children of Israel, when the children of Israel come nigh unto the sanctuary.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 20] Thus did Moses, and Aaron, and all the congregation of the children of Israel, unto the Levites: according unto all that the LORD commanded Moses touching the Levites, so did the children of Israel unto them.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 21] And the Levites purified themselves from sin, and they washed their clothes; and Aaron offered them for a wave offering before the LORD; and Aaron made atonement for them to cleanse them.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 22] And after that went the Levites in to do their service in the tent of meeting before Aaron, and before his sons: as the LORD had commanded Moses concerning the Levites, so did they unto them.
[ERV | EN | OT | Numbers | Chapter 8 | Verse 23] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Numbers | Chapter 8 | Verse 24] This is that which belongeth unto the Levites: from twenty and five years old and upward they shall go in to wait upon the service in the work of the tent of meeting:
[ERV | EN | OT | Numbers | Chapter 8 | Verse 25] and from the age of fifty years they shall cease waiting upon the work, and shall serve no more;
[ERV | EN | OT | Numbers | Chapter 8 | Verse 26] but shall minister with their brethren in the tent of meeting, to keep the charge, and shall do no service. Thus shalt thou do unto the Levites touching their charges.
