[ERV | EN | OT | Psalms | Chapter 74 | Verse 1] O God, why hast thou cast us off for ever? why doth thine anger smoke against the sheep of thy pasture?
[ERV | EN | OT | Psalms | Chapter 74 | Verse 2] Remember thy congregation, which thou hast purchased of old, which thou hast redeemed to be the tribe of thine inheritance; and mount Zion, wherein thou hast dwelt.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 3] Lift up thy feet unto the perpetual ruins, all the evil that the enemy hath done in the sanctuary.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 4] Thine adversaries have roared in the midst of thine assembly; they have set up their ensigns for signs.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 5] They seemed as men that lifted up axes upon a thicket of trees.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 6] And now all the carved work thereof together they break down with hatchet and hammers.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 7] They have set thy sanctuary on fire; they have profaned the dwelling place of thy name even to the ground.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 8] They said in their heart, Let us make havoc of them altogether: they have burned up all the synagogues of God in the land.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 9] We see not our signs: there is no more any prophet; neither is there among us any that knoweth how long.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 10] How long, O God, shall the adversary reproach? shall the enemy blaspheme thy name for ever?
[ERV | EN | OT | Psalms | Chapter 74 | Verse 11] Why drawest thou back thy hand, even thy right hand? pluck it out of thy bosom and consume them.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 12] Yet God is my King of old, working salvation in the midst of the earth.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 13] Thou didst divide the sea by thy strength: thou brakest the heads of the dragons in the waters.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 14] Thou brakest the heads of leviathan in pieces, thou gavest him to be meat to the people inhabiting the wilderness.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 15] Thou didst cleave fountain and flood: thou driedst up mighty rivers.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 16] The day is thine, the night also is thine: thou hast prepared the light and the sun.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 17] Thou hast set all the borders of the earth: thou hast made summer and winter.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 18] Remember this, that the enemy hath reproached, O LORD, and that foolish people have blasphemed thy name.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 19] O deliver not the soul of thy turtle-dove unto the wild beast: forget not the life of thy poor for ever.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 20] Have respect unto the covenant: for the dark places of the earth are full of the habitations of violence.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 21] O let not the oppressed return ashamed: let the poor and needy praise thy name.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 22] Arise, O God, plead thine own cause: remember how the foolish man reproacheth thee all the day.
[ERV | EN | OT | Psalms | Chapter 74 | Verse 23] Forget not the voice of thine adversaries: the tumult of those that rise up against thee ascendeth continually.
