[ERV | EN | OT | Psalms | Chapter 88 | Verse 1] O LORD, the God of my salvation, I have cried day and night before thee:
[ERV | EN | OT | Psalms | Chapter 88 | Verse 2] Let my prayer enter into thy presence; incline thine ear unto my cry:
[ERV | EN | OT | Psalms | Chapter 88 | Verse 3] For my soul is full of troubles, and my life draweth nigh unto Sheol.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 4] I am counted with them that go down into the pit; I am as a man that hath no help:
[ERV | EN | OT | Psalms | Chapter 88 | Verse 5] Cast off among the dead, like the slain that lie in the grave, whom thou rememberest no more; and they are cut off from thy hand.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 6] Thou hast laid me in the lowest pit, in dark places, in the deeps.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 7] Thy wrath lieth hard upon me, and thou hast afflicted me with all thy waves. Selah
[ERV | EN | OT | Psalms | Chapter 88 | Verse 8] Thou hast put mine acquaintance far from me; thou hast made me an abomination unto them: I am shut up, and I cannot come forth.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 9] Mine eye wasteth away by reason of affliction: I have called daily upon thee, O LORD, I have spread forth my hands unto thee.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 10] Wilt thou shew wonders to the dead? shall they that are deceased arise and praise thee? Selah
[ERV | EN | OT | Psalms | Chapter 88 | Verse 11] Shall thy lovingkindness be declared in the grave? or thy faithfulness in Destruction?
[ERV | EN | OT | Psalms | Chapter 88 | Verse 12] Shall thy wonders be known in the dark? and thy righteousness in the land of forgetfulness?
[ERV | EN | OT | Psalms | Chapter 88 | Verse 13] But unto thee, O LORD, have I cried, and in the morning shall my prayer come before thee.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 14] LORD, why castest thou off my soul? why hidest thou thy face from me?
[ERV | EN | OT | Psalms | Chapter 88 | Verse 15] I am afflicted and ready to die from my youth up: while I suffer thy terrors I am distracted.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 16] Thy fierce wrath is gone over me; thy terrors have cut me off.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 17] They came round about me like water all the day long; they compassed me about together.
[ERV | EN | OT | Psalms | Chapter 88 | Verse 18] Lover and friend hast thou put far from me, and mine acquaintance into darkness.
