[ERV | EN | OT | Psalms | Chapter 89 | Verse 1] I will sing of the mercies of the LORD for ever: with my mouth will I make known thy faithfulness to all generations.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 2] For I have said, Mercy shall be built up for ever; thy faithfulness shalt thou establish in the very heavens.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 3] I have made a covenant with my chosen, I have sworn unto David my servant;
[ERV | EN | OT | Psalms | Chapter 89 | Verse 4] Thy seed will I establish for ever, and build up thy throne to all generations. Selah
[ERV | EN | OT | Psalms | Chapter 89 | Verse 5] And the heavens shall praise thy wonders, O LORD; thy faithfulness also in the assembly of the holy ones.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 6] For who in the skies can be compared unto the LORD? who among the sons of the mighty is like unto the LORD,
[ERV | EN | OT | Psalms | Chapter 89 | Verse 7] A God very terrible in the council of the holy ones, and to be feared above all them that are round about him?
[ERV | EN | OT | Psalms | Chapter 89 | Verse 8] O LORD God of hosts, who is a mighty one, like unto thee, O JAH? and thy faithfulness is round about thee.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 9] Thou rulest the pride of the sea: when the waves thereof arise, thou stillest them.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 10] Thou hast broken Rahab in pieces, as one that is slain; thou hast scattered thine enemies with the arm of thy strength.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 11] The heavens are thine, the earth also is thine: the world and the fulness thereof, thou hast founded them.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 12] The north and the south, thou hast created them: Tabor and Hermon rejoice in thy name.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 13] Thou hast a mighty arm: strong is thy hand, and high is thy right hand.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 14] Righteousness and judgment are the foundation of thy throne: mercy and truth go before thy face.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 15] Blessed is the people that know the joyful sound: they walk, O LORD, in the light of thy countenance.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 16] In thy name do they rejoice all the day: and in thy righteousness are they exalted.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 17] For thou art the glory of their strength: and in thy favour our horn shall be exalted.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 18] For our shield belongeth unto the LORD; and our king to the Holy One of Israel.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 19] Then thou spakest in vision to thy saints, and saidst, I have laid help upon one that is mighty; I have exalted one chosen out of the people.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 20] I have found David my servant; with my holy oil have I anointed him:
[ERV | EN | OT | Psalms | Chapter 89 | Verse 21] With whom my hand shall be established; mine arm also shall strengthen him.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 22] The enemy shall not exact upon him; nor the son of wickedness afflict him.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 23] And I will beat down his adversaries before him, and smite them that hate him.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 24] But my faithfulness and my mercy shall be with him; and in my name shall his horn be exalted.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 25] I will set his hand also on the sea, and his right hand on the rivers.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 26] He shall cry unto me, Thou art my father, my God, and the rock of my salvation.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 27] I also will make him my firstborn, the highest of the kings of the earth.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 28] My mercy will I keep for him for evermore, and my covenant shall stand fast with him.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 29] His seed also will I make to endure for ever, and his throne as the days of heaven.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 30] If his children forsake my law, and walk not in my judgments;
[ERV | EN | OT | Psalms | Chapter 89 | Verse 31] If they break my statutes, and keep not my commandments;
[ERV | EN | OT | Psalms | Chapter 89 | Verse 32] Then will I visit their transgression with the rod, and their iniquity with stripes.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 33] But my mercy will I not utterly take from him, nor suffer my faithfulness to fail.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 34] My covenant will I not break, nor alter the thing that is gone out of my lips.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 35] Once have I sworn by my holiness; I will not lie unto David;
[ERV | EN | OT | Psalms | Chapter 89 | Verse 36] His seed shall endure for ever, and his throne as the sun before me.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 37] It shall be established for ever as the moon, and as the faithful witness in the sky. Selah
[ERV | EN | OT | Psalms | Chapter 89 | Verse 38] But thou hast cast off and rejected, thou hast been wroth with thine anointed.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 39] Thou hast abhorred the covenant of thy servant: thou hast profaned his crown even to the ground.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 40] Thou hast broken down all his hedges; thou hast brought his strong holds to rain.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 41] All that pass by the way spoil him: he is become a reproach to his neighbours.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 42] Thou hast exalted the right hand of his adversaries; thou hast made all his enemies to rejoice.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 43] Yea, thou turnest back the edge his sword, and hast not made him to stand in the battle.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 44] Thou hast made his brightness to cease, and cast his throne down to the ground.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 45] The days of his youth hast thou shortened: thou hast covered him with shame. Selah
[ERV | EN | OT | Psalms | Chapter 89 | Verse 46] How long, O LORD, wilt thou hid thyself for ever? how long shall thy wrath burn like fire?
[ERV | EN | OT | Psalms | Chapter 89 | Verse 47] O remember how short my time is: for what vanity hast thou created all the children of men!
[ERV | EN | OT | Psalms | Chapter 89 | Verse 48] What man is he that shall live and not see death, that shall deliver his soul from the power of Sheol? Selah
[ERV | EN | OT | Psalms | Chapter 89 | Verse 49] Lord, where are thy former mercies, which thou swarest unto David in thy faithfulness?
[ERV | EN | OT | Psalms | Chapter 89 | Verse 50] Remember, Lord, the reproach of thy servants; how I do bear in my bosom the reproach of all the mighty peoples:
[ERV | EN | OT | Psalms | Chapter 89 | Verse 51] Wherewith thine enemies have reproached, O LORD, wherewith they have reproached the footsteps of thine anointed.
[ERV | EN | OT | Psalms | Chapter 89 | Verse 52] Blessed be the LORD for evermore. Amen, and Amen.
