[ERV | EN | OT | Isaiah | Chapter 32 | Verse 1] Behold, a king shall reign in righteousness, and princes shall rule in judgment.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 2] And a man shall be as an hiding place from the wind, and a covert from the tempest; as rivers of water in a dry place, as the shadow of a great rock in a weary land.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 3] And the eyes of them that see shall not be dim, and the ears of them that hear shall hearken.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 4] The heart also of the rash shall understand knowledge, and the tongue of the stammerers shall be ready to speak plainly.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 5] The vile person shall be no more called liberal, nor the churl said to be bountiful.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 6] For the vile person will speak villany, and his heart will work iniquity, to practise profaneness, and to utter error against the LORD, to make empty the soul of the hungry, and to cause the drink of the thirsty to fail.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 7] The instruments also of the churl are evil: he deviseth wicked devices to destroy the meek with lying words, even when the needy speaketh right.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 8] But the liberal deviseth liberal things; and in liberal things shall he continue.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 9] Rise up, ye women that are at ease, and hear my voice; ye careless daughters, give ear unto my speech.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 10] For days beyond a year shall ye be troubled, ye careless women: for the vintage shall fail, the ingathering shall not come.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 11] Tremble, ye women that are at ease; be troubled, ye careless ones: strip you, and make you bare, and gird sackcloth upon your loins.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 12] They shall smite upon the breasts for the pleasant fields, for the fruitful vine.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 13] Upon the land of my people shall come up thorns and briers; yea, upon all the houses of joy in the joyous city:
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 14] For the palace shall be forsaken; the populous city shall be deserted; the hill and the watch-tower shall be for dens for ever, a joy of wild asses, a pasture of flocks;
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 15] until the spirit be poured upon us from on high, and the wilderness become a fruitful field, and the fruitful field be counted for a forest.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 16] Then judgment shall dwell in the wilderness, and righteousness shall abide in the fruitful field.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 17] And the work of righteousness shall be peace; and the effect of righteousness quietness and confidence for ever.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 18] And my people shall abide in a peaceable habitation, and in sure dwellings, and in quiet resting places.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 19] But it shall hail, in the downfall of the forest; and the city shall be utterly laid low.
[ERV | EN | OT | Isaiah | Chapter 32 | Verse 20] Blessed are ye that sow beside all waters, that send forth the feet of the ox and the ass.
