[GNV | EN | OT | Genesis | Chapter 9 | Verse 1] And God blessed Noah and his sonnes, and said to them, Bring foorth fruite, and multiplie, and replenish the earth.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 2] Also the feare of you, and the dread of you shalbe vpon euery beast of the earth, and vpon euery foule of the heauen, vpon all that moueth on the earth, and vpon all the fishes of the sea: into your hand are they deliuered.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 3] Euery thing that moueth and liueth, shall be meate for you: as the greene herbe, haue I giuen you all things.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 4] But flesh with the life thereof, I meane, with the blood thereof, shall ye not eate.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 5] For surely I will require your blood, wherein your liues are: at the hand of euery beast will I require it: and at the hand of man, euen at the hand of a mans brother will I require the life of man.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 6] Who so sheadeth mans blood, by man shall his blood be shed: for in the image of God hath he made man.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 7] But bring ye forth fruite and multiplie: grow plentifully in the earth, and increase therein.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 8] God spake also to Noah and to his sonnes with him, saying,
[GNV | EN | OT | Genesis | Chapter 9 | Verse 9] Behold, I, euen I establish my couenant with you, and with your seede after you,
[GNV | EN | OT | Genesis | Chapter 9 | Verse 10] And with euery liuing creature that is with you, with the foule, with the cattell, and with euery beast of the earth with you, from all that goe out of the Arke, vnto euery beast of the earth.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 11] And my couenant will I establish with you, that from henceforth all flesh shall not be rooted out by ye waters of the flood, neither shall there be a flood to destroy the earth any more.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 12] Then God saide, This is the token of the couenant which I make betweene me and you, and betweene euery liuing thing, that is with you vnto perpetuall generations.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 13] I haue set my bowe in the cloude, and it shalbe for a signe of the couenant betweene me and the earth.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 14] And when I shall couer the earth with a cloud, and the bowe shall be seene in the cloude,
[GNV | EN | OT | Genesis | Chapter 9 | Verse 15] Then will I remember my couenant, which is betweene me and you, and betweene euery liuing thing in all flesh, and there shalbe no more waters of a flood to destroy all flesh.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 16] Therefore the bowe shalbe in the cloude, that I may see it, and remember the euerlasting couenant betweene God, and euery liuing thing in all flesh that is vpon the earth.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 17] God said yet to Noah, This is the signe of the couenant, which I haue established betweene me and all flesh that is vpon the earth.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 18] Nowe the sonnes of Noah going foorth of the Arke, were Shem and Ham and Iapheth. And Ham is the father of Canaan.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 19] These are the three sonnes of Noah, and of them was the whole earth ouerspred.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 20] Noah also began to be an husband man and planted a vineyard.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 21] And he drunke of ye wine and was drunken, and was vncouered in the middes of his tent.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 22] And when Ham the father of Canaan sawe the nakednesse of his father, he tolde his two brethren without.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 23] Then tooke Shem and Iapheth a garment, and put it vpon both their shoulders, and went backwarde, and couered the nakednesse of their father with their faces backwarde: so they sawe not their fathers nakednesse.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 24] Then Noah awoke from his wine, and knew what his yonger sonne had done vnto him,
[GNV | EN | OT | Genesis | Chapter 9 | Verse 25] And said, Cursed be Canaan: a seruant of seruants shall he be vnto his brethren.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 26] He said moreouer, blessed be the Lord God of Shem, and let Canaan be his seruant.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 27] God perswade Iapheth, that he may dwell in the tentes of Shem, and let Canaan be his seruant.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 28] And Noah liued after the flood three hundreth and fiftie yeeres.
[GNV | EN | OT | Genesis | Chapter 9 | Verse 29] So all the dayes of Noah were nine hundreth and fiftie yeeres: and he died.
