[GNV | EN | OT | Psalms | Chapter 48 | Verse 1] A song or Psalme committed to the sonnes of Korah. Great is the Lord, and greatly to be praysed, in the Citie of our God, euen vpon his holy Mountaine.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 2] Mount Zion, lying Northwarde, is faire in situation: it is the ioy of the whole earth, and the Citie of the great King.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 3] In the palaces thereof God is knowen for a refuge.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 4] For lo, the Kings were gathered, and went together.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 5] When they sawe it, they marueiled: they were astonied, and suddenly driuen backe.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 6] Feare came there vpon them, and sorowe, as vpon a woman in trauaile.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 7] As with an East winde thou breakest the shippes of Tarshish, so were they destroyed.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 8] As we haue heard, so haue we seene in the citie of the Lord of hostes, in the Citie of our God: God will stablish it for euer. Selah.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 9] We waite for thy louing kindnes, O God, in the middes of thy Temple.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 10] O God, according vnto thy Name, so is thy prayse vnto the worlds end: thy right hand is full of righteousnes.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 11] Let mount Zion reioyce, and the daughters of Iudah be glad, because of thy iudgements.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 12] Compasse about Zion, and goe round about it, and tell the towres thereof.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 13] Marke well the wall thereof: beholde her towres, that ye may tell your posteritie.
[GNV | EN | OT | Psalms | Chapter 48 | Verse 14] For this God is our God for euer and euer: he shall be our guide vnto the death.
