[JPS | EN | OT | Job | Chapter 22 | Verse 1] Then answered Eliphaz the Temanite, and said:
[JPS | EN | OT | Job | Chapter 22 | Verse 2] Can a man be profitable unto God? Or can he that is wise be profitable unto Him?
[JPS | EN | OT | Job | Chapter 22 | Verse 3] Is it any advantage to the Almighty, that thou art righteous? Or is it gain to Him, that thou makest thy ways blameless?
[JPS | EN | OT | Job | Chapter 22 | Verse 4] Is it for thy fear of Him that He reproveth thee, that He entereth with thee into judgment?
[JPS | EN | OT | Job | Chapter 22 | Verse 5] Is not thy wickedness great? And are not thine iniquities without end?
[JPS | EN | OT | Job | Chapter 22 | Verse 6] For thou hast taken pledges of thy brother for nought, and stripped the naked of their clothing.
[JPS | EN | OT | Job | Chapter 22 | Verse 7] Thou hast not given water to the weary to drink, and thou hast withholden bread from the hungry.
[JPS | EN | OT | Job | Chapter 22 | Verse 8] And as a mighty man, who hath the earth, and as a man of rank, who dwelleth in it,
[JPS | EN | OT | Job | Chapter 22 | Verse 9] Thou hast sent widows away empty, and the arms of the fatherless have been broken.
[JPS | EN | OT | Job | Chapter 22 | Verse 10] Therefore snares are round about thee, and sudden dread affrighted thee,
[JPS | EN | OT | Job | Chapter 22 | Verse 11] Or darkness, that thou canst not see, and abundance of waters cover thee.
[JPS | EN | OT | Job | Chapter 22 | Verse 12] Is not God in the height of heaven? And behold the topmost of the stars, how high they are!
[JPS | EN | OT | Job | Chapter 22 | Verse 13] And thou sayest: 'What doth God know? Can He judge through the dark cloud?
[JPS | EN | OT | Job | Chapter 22 | Verse 14] Thick clouds are a covering to Him, that He seeth not; and He walketh in the circuit of heaven.'
[JPS | EN | OT | Job | Chapter 22 | Verse 15] Wilt thou keep the old way which wicked men have trodden?
[JPS | EN | OT | Job | Chapter 22 | Verse 16] Who were snatched away before their time, whose foundation was poured out as a stream;
[JPS | EN | OT | Job | Chapter 22 | Verse 17] Who said unto God: 'Depart from us'; and what could the Almighty do unto them?
[JPS | EN | OT | Job | Chapter 22 | Verse 18] Yet He filled their houses with good things — but the counsel of the wicked is far from me.
[JPS | EN | OT | Job | Chapter 22 | Verse 19] The righteous saw it, and were glad, and the innocent laugh them to scorn:
[JPS | EN | OT | Job | Chapter 22 | Verse 20] 'Surely their substance is cut off, and their abundance the fire hath consumed.'
[JPS | EN | OT | Job | Chapter 22 | Verse 21] Acquaint now thyself with Him, and be at peace; thereby shall thine increase be good.
[JPS | EN | OT | Job | Chapter 22 | Verse 22] Receive, I pray thee, instruction from His mouth, and lay up His words in thy heart.
[JPS | EN | OT | Job | Chapter 22 | Verse 23] If thou return to the Almighty, thou shalt be built up — if thou put away unrighteousness far from thy tents,
[JPS | EN | OT | Job | Chapter 22 | Verse 24] And lay thy treasure in the dust, and the gold of Ophir among the stones of the brooks;
[JPS | EN | OT | Job | Chapter 22 | Verse 25] And the Almighty be thy treasure, and precious silver unto thee;
[JPS | EN | OT | Job | Chapter 22 | Verse 26] Then surely shalt thou have thy delight in the Almighty, and shalt lift up thy face unto God.
[JPS | EN | OT | Job | Chapter 22 | Verse 27] Thou shalt make thy prayer unto Him, and He will hear thee, and thou shalt pay thy vows;
[JPS | EN | OT | Job | Chapter 22 | Verse 28] Thou shalt also decree a thing, and it shall be established unto thee, and light shall shine upon thy ways.
[JPS | EN | OT | Job | Chapter 22 | Verse 29] When they cast thee down, thou shalt say: 'There is lifting up'; for the humble person He saveth.
[JPS | EN | OT | Job | Chapter 22 | Verse 30] He delivereth him that is innocent, yea, thou shalt be delivered through the cleanness of thy hands.
