[JPS | EN | OT | Proverbs | Chapter 31 | Verse 1] The words of king Lemuel; the burden wherewith his mother corrected him.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 2] What, my son? and what, O son of my womb? and what, O son of my vows?
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 3] Give not thy strength unto women, nor thy ways to that which destroyeth kings.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 4] It is not for kings, O Lemuel, it is not for kings to drink wine: nor for princes to say: 'Where is strong drink?'
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 5] Lest they drink, and forget that which is decreed, and pervert the justice due to any that is afflicted.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 6] Give strong drink unto him that is ready to perish, and wine unto the bitter in soul;
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 7] Let him drink, and forget his poverty, and remember his misery no more.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 8] Open thy mouth for the dumb, in the cause of all such as are appointed to destruction.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 9] Open thy mouth, judge righteously, and plead the cause of the poor and needy.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 10] A woman of valour who can find? for her price is far above rubies.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 11] The heart of her husband doth safely trust in her, and he hath no lack of gain.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 12] She doeth him good and not evil all the days of her life.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 13] She seeketh wool and flax, and worketh willingly with her hands.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 14] She is like the merchant-ships; she bringeth her food from afar.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 15] She riseth also while it is yet night, and giveth food to her household, and a portion to her maidens.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 16] She considereth a field, and buyeth it; with the fruit of her hands she planteth a vineyard.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 17] She girdeth her loins with strength, and maketh strong her arms.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 18] She perceiveth that her merchandise is good; her lamp goeth not out by night.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 19] She layeth her hands to the distaff, and her hands hold the spindle.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 20] She stretcheth out her hand to the poor; yea, she reacheth forth her hands to the needy.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 21] She is not afraid of the snow for her household; for all her household are clothed with scarlet.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 22] She maketh for herself coverlets; her clothing is fine linen and purple.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 23] Her husband is known in the gates, when he sitteth among the elders of the land.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 24] She maketh linen garments and selleth them; and delivereth girdles unto the merchant.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 25] Strength and dignity are her clothing; and she laugheth at the time to come.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 26] She openeth her mouth with wisdom; and the law of kindness is on her tongue.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 27] She looketh well to the ways of her household, and eateth not the bread of idleness.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 28] Her children rise up, and call her blessed; her husband also, and he praiseth her:
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 29] 'Many daughters have done valiantly, but thou excellest them all.'
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 30] Grace is deceitful, and beauty is vain; but a woman that feareth the LORD, she shall be praised.
[JPS | EN | OT | Proverbs | Chapter 31 | Verse 31] Give her of the fruit of her hands; and let her works praise her in the gates.
