[KJV | EN | OT | Job | Chapter 36 | Verse 1] Elihu also proceeded, and said,
[KJV | EN | OT | Job | Chapter 36 | Verse 2] Suffer me a little, and I will shew thee That I have yet to speak on God’s behalf.
[KJV | EN | OT | Job | Chapter 36 | Verse 3] I will fetch my knowledge from afar, And will ascribe righteousness to my Maker.
[KJV | EN | OT | Job | Chapter 36 | Verse 4] For truly my words shall not be false: He that is perfect in knowledge is with thee.
[KJV | EN | OT | Job | Chapter 36 | Verse 5] Behold, God is mighty, and despiseth not any: He is mighty in strength and wisdom.
[KJV | EN | OT | Job | Chapter 36 | Verse 6] He preserveth not the life of the wicked: But giveth right to the poor.
[KJV | EN | OT | Job | Chapter 36 | Verse 7] He withdraweth not his eyes from the righteous: But with kings are they on the throne; Yea, he doth establish them for ever, and they are exalted.
[KJV | EN | OT | Job | Chapter 36 | Verse 8] And if they be bound in fetters, And be holden in cords of affliction;
[KJV | EN | OT | Job | Chapter 36 | Verse 9] Then he sheweth them their work, And their transgressions that they have exceeded.
[KJV | EN | OT | Job | Chapter 36 | Verse 10] He openeth also their ear to discipline, And commandeth that they return from iniquity.
[KJV | EN | OT | Job | Chapter 36 | Verse 11] If they obey and serve him, They shall spend their days in prosperity, And their years in pleasures.
[KJV | EN | OT | Job | Chapter 36 | Verse 12] But if they obey not, They shall perish by the sword, And they shall die without knowledge.
[KJV | EN | OT | Job | Chapter 36 | Verse 13] But the hypocrites in heart heap up wrath: They cry not when he bindeth them.
[KJV | EN | OT | Job | Chapter 36 | Verse 14] They die in youth, And their life is among the unclean.
[KJV | EN | OT | Job | Chapter 36 | Verse 15] He delivereth the poor in his affliction, And openeth their ears in oppression.
[KJV | EN | OT | Job | Chapter 36 | Verse 16] Even so would he have removed thee out of the strait Into a broad place, where there is no straitness; And that which should be set on thy table should be full of fatness.
[KJV | EN | OT | Job | Chapter 36 | Verse 17] But thou hast fulfilled the judgment of the wicked: Judgment and justice take hold on thee.
[KJV | EN | OT | Job | Chapter 36 | Verse 18] Because there is wrath, beware lest he take thee away with his stroke: Then a great ransom cannot deliver thee.
[KJV | EN | OT | Job | Chapter 36 | Verse 19] Will he esteem thy riches? no, not gold, Nor all the forces of strength.
[KJV | EN | OT | Job | Chapter 36 | Verse 20] Desire not the night, When people are cut off in their place.
[KJV | EN | OT | Job | Chapter 36 | Verse 21] Take heed, regard not iniquity: For this hast thou chosen rather than affliction.
[KJV | EN | OT | Job | Chapter 36 | Verse 22] Behold, God exalteth by his power: Who teacheth like him?
[KJV | EN | OT | Job | Chapter 36 | Verse 23] Who hath enjoined him his way? Or who can say, Thou hast wrought iniquity?
[KJV | EN | OT | Job | Chapter 36 | Verse 24] Remember that thou magnify his work, Which men behold.
[KJV | EN | OT | Job | Chapter 36 | Verse 25] Every man may see it; Man may behold it afar off.
[KJV | EN | OT | Job | Chapter 36 | Verse 26] Behold, God is great, and we know him not, Neither can the number of his years be searched out.
[KJV | EN | OT | Job | Chapter 36 | Verse 27] For he maketh small the drops of water: They pour down rain according to the vapour thereof:
[KJV | EN | OT | Job | Chapter 36 | Verse 28] Which the clouds do drop And distil upon man abundantly.
[KJV | EN | OT | Job | Chapter 36 | Verse 29] Also can any understand the spreadings of the clouds, Or the noise of his tabernacle?
[KJV | EN | OT | Job | Chapter 36 | Verse 30] Behold, he spreadeth his light upon it, And covereth the bottom of the sea.
[KJV | EN | OT | Job | Chapter 36 | Verse 31] For by them judgeth he the people; He giveth meat in abundance.
[KJV | EN | OT | Job | Chapter 36 | Verse 32] With clouds he covereth the light; And commandeth it not to shine by the cloud that cometh betwixt.
[KJV | EN | OT | Job | Chapter 36 | Verse 33] The noise thereof sheweth concerning it, The cattle also concerning the vapour.
