[KJV | EN | OT | Psalms | Chapter 30 | Verse 1] I will extol thee, O Lord; for thou hast lifted me up, And hast not made my foes to rejoice over me.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 2] O Lord my God, I cried unto thee, and thou hast healed me.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 3] O Lord, thou hast brought up my soul from the grave: Thou hast kept me alive, that I should not go down to the pit.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 4] Sing unto the Lord, O ye saints of his, And give thanks at the remembrance of his holiness.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 5] For his anger endureth but a moment; in his favour is life: Weeping may endure for a night, but joy cometh in the morning.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 6] And in my prosperity I said, I shall never be moved.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 7] Lord, by thy favour thou hast made my mountain to stand strong: Thou didst hide thy face, and I was troubled.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 8] I cried to thee, O Lord; And unto the Lord I made supplication.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 9] What profit is there in my blood, when I go down to the pit? Shall the dust praise thee? shall it declare thy truth?
[KJV | EN | OT | Psalms | Chapter 30 | Verse 10] Hear, O Lord, and have mercy upon me: Lord, be thou my helper.
[KJV | EN | OT | Psalms | Chapter 30 | Verse 11] Thou hast turned for me my mourning into dancing: Thou hast put off my sackcloth, and girded me with gladness;
[KJV | EN | OT | Psalms | Chapter 30 | Verse 12] To the end that my glory may sing praise to thee, and not be silent. O Lord my God, I will give thanks unto thee for ever.
