[KJV | EN | OT | Nahum | Chapter 1 | Verse 1] The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 2] God is jealous, and the Lord revengeth; The Lord revengeth, and is furious; The Lord will take vengeance on his adversaries, And he reserveth wrath for his enemies.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 3] The Lord is slow to anger, and great in power, And will not at all acquit the wicked: The Lord hath his way in the whirlwind and in the storm, And the clouds are the dust of his feet.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 4] He rebuketh the sea, and maketh it dry, And drieth up all the rivers: Bashan languisheth, and Carmel, And the flower of Lebanon languisheth.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 5] The mountains quake at him, and the hills melt, And the earth is burnt at his presence, Yea, the world, and all that dwell therein.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 6] Who can stand before his indignation? And who can abide in the fierceness of his anger? His fury is poured out like fire, And the rocks are thrown down by him.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 7] The Lord is good, a strong hold in the day of trouble; And he knoweth them that trust in him.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 8] But with an overrunning flood he will make an utter end of the place thereof, And darkness shall pursue his enemies.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 9] What do ye imagine against the Lord? He will make an utter end: Affliction shall not rise up the second time.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 10] For while they be folden together as thorns, And while they be drunken as drunkards, They shall be devoured as stubble fully dry.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 11] There is one come out of thee, that imagineth evil against the Lord, A wicked counseller.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 12] Thus saith the Lord; Though they be quiet, and likewise many, Yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 13] For now will I break his yoke from off thee, And will burst thy bonds in sunder.
[KJV | EN | OT | Nahum | Chapter 1 | Verse 14] And the Lord hath given a commandment concerning thee, That no more of thy name be sown: Out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile.
