[KJV | EN | OT | Sirach | Chapter 24 | Verse 1] Wisdom shall praise herself, And shall glory in the midst of her people.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 2] In the congregation of the most High shall she open her mouth, And triumph before his power.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 3] I came out of the mouth of the most High, And covered the earth as a cloud.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 4] I dwelt in high places, And my throne is in a cloudy pillar.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 5] I alone compassed the circuit of heaven, And walked in the bottom of the deep.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 6] In the waves of the sea, and in all the earth, And in every people and nation, I got a possession.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 7] With all these I sought rest: And in whose inheritance shall I abide?
[KJV | EN | OT | Sirach | Chapter 24 | Verse 8] So the Creator of all things gave me a commandment, And he that made me caused my tabernacle to rest, And said, Let thy dwelling be in Jacob, And thine inheritance in Israel.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 9] He created me from the beginning before the world, And I shall never fail.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 10] In the holy tabernacle I served before him; And so was I established in Sion.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 11] Likewise in the beloved city he gave me rest, And in Jerusalem was my power.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 12] And I took root in an honourable people, Even in the portion of the Lord’s inheritance.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 13] I was exalted like a cedar in Libanus, And as a cypress tree upon the mountains of Hermon.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 14] I was exalted like a palm tree in Engaddi, And as a rose plant in Jericho, As a fair olive tree in a pleasant field, And grew up as a plane tree by the water.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 15] I gave a sweet smell like cinnamon and aspalathus, And I yielded a pleasant odour like the best myrrh, As galbanum, and onyx, and sweet storax, And as the fume of frankincense in the tabernacle.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 16] As the turpentine tree I stretched out my branches, And my branches are the branches of honour and grace.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 17] As the vine brought I forth pleasant savour, And my flowers are the fruit of honour and riches.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 18] I am the mother of fair love, And fear, and knowledge, and holy hope: I therefore, being eternal, am given to all my children Which are named of him.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 19] Come unto me, all ye that be desirous of me, And fill yourselves with my fruits.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 20] For my memorial is sweeter than honey, And mine inheritance than the honeycomb.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 21] They that eat me shall yet be hungry, And they that drink me shall yet be thirsty.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 22] He that obeyeth me shall never be confounded, And they that work by me shall not do amiss.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 23] All these things are the book of the covenant of the most high God, Even the law which Moses commanded For an heritage unto the congregations of Jacob.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 24] Faint not to be strong in the Lord; That he may confirm you, cleave unto him: For the Lord Almighty is God alone, And beside him there is no other Saviour.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 25] He filleth all things with his wisdom, as Phison And as Tigris in the time of the new fruits.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 26] He maketh the understanding to abound like Euphrates, And as Jordan in the time of the harvest.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 27] He maketh the doctrine of knowledge appear as the light, And as Geon in the time of vintage.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 28] The first man knew her not perfectly: No more shall the last find her out.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 29] For her thoughts are more than the sea, And her counsels profounder than the great deep.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 30] I also came out as a brook from a river, And as a conduit into a garden.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 31] I said, I will water my best garden, And will water abundantly my garden bed: And lo, my brook became a river, And my river became a sea.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 32] I will yet make doctrine to shine as the morning, And will send forth her light afar off.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 33] I will yet pour out doctrine as prophecy, And leave it to all ages for ever.
[KJV | EN | OT | Sirach | Chapter 24 | Verse 34] Behold that I have not laboured for myself only, But for all them that seek wisdom.
