[OEB | EN | OT | Psalms | Chapter 22 | Verse 1] My God, my God, why have you left me, my rescue so far from the words of my roaring?
[OEB | EN | OT | Psalms | Chapter 22 | Verse 2] I cry in the day, you do not answer, I cry in the night but find no rest.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 3] You are the Holy One, throned on the praises of Israel.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 4] In you our ancestors trusted, they trusted and you delivered them.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 5] They cried to you, and found safety, in you did they trust and were not put to shame.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 6] But I am a worm, not a person; insulted by others, despised by the people.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 7] All who see me mock me, with mouths wide open and wagging heads:
[OEB | EN | OT | Psalms | Chapter 22 | Verse 8] ‘He relies on the Lord; let him save him. Let him rescue the one he holds dear!’
[OEB | EN | OT | Psalms | Chapter 22 | Verse 9] But you drew me from the womb, laid me safely on my mother’s breasts.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 10] On your care was I cast from my very birth, you are my God from my mother’s womb.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 11] Be not far from me, for trouble is nigh, and there is none to help.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 12] I am circled by many bulls, beset by the mighty of Bashan,
[OEB | EN | OT | Psalms | Chapter 22 | Verse 13] who face me with gaping jaws, like ravening roaring lions.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 14] Poured out am I like water, and all my bones are loosened. My heart is become like wax, melted within me.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 15] My palate is dry as a sherd, my tongue sticks to my jaws; in the dust of death you lay me.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 16] For dogs are round about me, a band of knaves encircles me, gnawing my hands and my feet.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 17] I can count my bones, every one. As for them, they feast their eyes on me.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 18] They divide my garments among them, and over my raiment cast lots.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 19] But you, O Lord, be not far, O my strength, hasten to help me.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 20] Deliver my life from the sword my life from the power of the dogs.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 21] Save me from the jaws of the lion, from the horns of the wild oxen help me.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 22] I will tell of your fame to my kindred, and in the assembly will praise you.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 23] Praise the Lord, you who fear him. All Jacob’s seed, give him glory. All Israel’s seed, stand in awe of him.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 24] For he has not despised nor abhorred the sorrow of the sorrowful. He hid not his face from me, but he listened to my cry for help.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 25] Of you is my praise in the great congregation; my vows I will pay before those who fear him.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 26] The afflicted will eat to their heart’s desire, and those who seek after the Lord will praise him. Lift up your hearts forever.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 27] All will call it to mind, to the ends of the earth, and turn to the Lord; and all tribes of the nations will bow down before you.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 28] For the kingdom belongs to the Lord: he is the Lord of the nations.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 29] To him will bow down all who sleep in the earth, and before him bend all who go down to the dust, and those who could not preserve their lives.
[OEB | EN | OT | Psalms | Chapter 22 | Verse 30] My descendants will tell of the Lord to the next generation;
[OEB | EN | OT | Psalms | Chapter 22 | Verse 31] they will declare his righteousness to people yet to be born: He has done it.
