[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 1] Working together, we entreat also that you do not receive the grace of God in vain.
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 2] For he says, “At an acceptable time I listened to you. In a day of salvation I helped you.” Behold, now is the acceptable time. Behold, now is the day of salvation.
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 3] We give no occasion of stumbling in anything, that our service may not be blamed,
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 4] but in everything commending ourselves as servants of God: in great endurance, in afflictions, in hardships, in distresses,
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 5] in beatings, in imprisonments, in riots, in labors, in watchings, in fastings,
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 6] in pureness, in knowledge, in perseverance, in kindness, in the Holy Spirit, in sincere love,
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 7] in the word of truth, in the power of God, by the armor of righteousness on the right hand and on the left,
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 8] by glory and dishonor, by evil report and good report, as deceivers and yet true,
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 9] as unknown and yet well known, as dying and behold—we live, as punished and not killed,
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 10] as sorrowful yet always rejoicing, as poor yet making many rich, as having nothing and yet possessing all things.
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 11] Our mouth is open to you, Corinthians. Our heart is enlarged.
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 12] You are not restricted by us, but you are restricted by your own affections.
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 13] Now in return—I speak as to my children—you also open your hearts.
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 14] Don’t be unequally yoked with unbelievers, for what fellowship do righteousness and iniquity have? Or what fellowship does light have with darkness?
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 15] What agreement does Christ have with Belial? Or what portion does a believer have with an unbeliever?
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 16] What agreement does a temple of God have with idols? For you are a temple of the living God. Even as God said, “I will dwell in them and walk in them. I will be their God and they will be my people.”
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 17] Therefore “‘Come out from among them, and be separate,’ says the Lord. ‘Touch no unclean thing. I will receive you.
[WEB | EN | NT | 2 Corinthians | Chapter 6 | Verse 18] I will be to you a Father. You will be to me sons and daughters,’ says the Lord Almighty.”
