[WEB | EN | OT | Psalms | Chapter 41 | Verse 1] Blessed is he who considers the poor. The LORD will deliver him in the day of evil.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 2] The LORD will preserve him, and keep him alive. He shall be blessed on the earth, and he will not surrender him to the will of his enemies.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 3] The LORD will sustain him on his sickbed, and restore him from his bed of illness.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 4] I said, “LORD, have mercy on me! Heal me, for I have sinned against you.”
[WEB | EN | OT | Psalms | Chapter 41 | Verse 5] My enemies speak evil against me: “When will he die, and his name perish?”
[WEB | EN | OT | Psalms | Chapter 41 | Verse 6] If he comes to see me, he speaks falsehood. His heart gathers iniquity to itself. When he goes abroad, he tells it.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 7] All who hate me whisper together against me. They imagine the worst for me.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 8] “An evil disease”, they say, “has afflicted him. Now that he lies he shall rise up no more.”
[WEB | EN | OT | Psalms | Chapter 41 | Verse 9] Yes, my own familiar friend, in whom I trusted, who ate bread with me, has lifted up his heel against me.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 10] But you, LORD, have mercy on me, and raise me up, that I may repay them.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 11] By this I know that you delight in me, because my enemy doesn’t triumph over me.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 12] As for me, you uphold me in my integrity, and set me in your presence forever.
[WEB | EN | OT | Psalms | Chapter 41 | Verse 13] Blessed be the LORD, the God of Israel, from everlasting and to everlasting! Amen and amen.
