[WEB | EN | OT | Psalms | Chapter 72 | Verse 1] God, give the king your justice; your righteousness to the royal son.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 2] He will judge your people with righteousness, and your poor with justice.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 3] The mountains shall bring prosperity to the people. The hills bring the fruit of righteousness.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 4] He will judge the poor of the people. He will save the children of the needy, and will break the oppressor in pieces.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 5] They shall fear you while the sun endures; and as long as the moon, throughout all generations.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 6] He will come down like rain on the mown grass, as showers that water the earth.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 7] In his days, the righteous shall flourish, and abundance of peace, until the moon is no more.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 8] He shall have dominion also from sea to sea, from the River to the ends of the earth.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 9] Those who dwell in the wilderness shall bow before him. His enemies shall lick the dust.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 10] The kings of Tarshish and of the islands will bring tribute. The kings of Sheba and Seba shall offer gifts.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 11] Yes, all kings shall fall down before him. All nations shall serve him.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 12] For he will deliver the needy when he cries; the poor, who has no helper.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 13] He will have pity on the poor and needy. He will save the souls of the needy.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 14] He will redeem their soul from oppression and violence. Their blood will be precious in his sight.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 15] He will live; and Sheba’s gold will be given to him. Men will pray for him continually. They will bless him all day long.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 16] Abundance of grain shall be throughout the land. Its fruit sways like Lebanon. Let it flourish, thriving like the grass of the field.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 17] His name endures forever. His name continues as long as the sun. Men shall be blessed by him. All nations will call him blessed.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 18] Praise be to the LORD God, the God of Israel, who alone does marvelous deeds.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 19] Blessed be his glorious name forever! Let the whole earth be filled with his glory! Amen and amen.
[WEB | EN | OT | Psalms | Chapter 72 | Verse 20] This ends the prayers by David, the son of Jesse.
