[WEB | EN | OT | Isaiah | Chapter 9 | Verse 1] But there shall be no more gloom for her who was in anguish. In the former time, he brought into contempt the land of Zebulun and the land of Naphtali; but in the latter time he has made it glorious, by the way of the sea, beyond the Jordan, Galilee of the nations.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 2] The people who walked in darkness have seen a great light. The light has shined on those who lived in the land of the shadow of death.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 3] You have multiplied the nation. You have increased their joy. They rejoice before you according to the joy in harvest, as men rejoice when they divide the plunder.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 4] For the yoke of his burden, and the staff of his shoulder, the rod of his oppressor, you have broken as in the day of Midian.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 5] For all the armor of the armed man in the noisy battle, and the garments rolled in blood, will be for burning, fuel for the fire.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 6] For a child is born to us. A son is given to us; and the government will be on his shoulders. His name will be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 7] Of the increase of his government and of peace there shall be no end, on David’s throne, and on his kingdom, to establish it, and to uphold it with justice and with righteousness from that time on, even forever. The zeal of the LORD of Armies will perform this.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 8] The Lord sent a word into Jacob, and it falls on Israel.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 9] All the people will know, including Ephraim and the inhabitants of Samaria, who say in pride and in arrogance of heart,
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 10] “The bricks have fallen, but we will build with cut stone. The sycamore fig trees have been cut down, but we will put cedars in their place.”
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 11] Therefore the LORD will set up on high against him the adversaries of Rezin, and will stir up his enemies,
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 12] The Syrians in front, and the Philistines behind; and they will devour Israel with open mouth. For all this, his anger is not turned away, but his hand is stretched out still.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 13] Yet the people have not turned to him who struck them, neither have they sought the LORD of Armies.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 14] Therefore the LORD will cut off from Israel head and tail, palm branch and reed, in one day.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 15] The elder and the honorable man is the head, and the prophet who teaches lies is the tail.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 16] For those who lead this people lead them astray; and those who are led by them are destroyed.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 17] Therefore the Lord will not rejoice over their young men, neither will he have compassion on their fatherless and widows; for everyone is profane and an evildoer, and every mouth speaks folly. For all this his anger is not turned away, but his hand is stretched out still.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 18] For wickedness burns like a fire. It devours the briers and thorns; yes, it kindles in the thickets of the forest, and they roll upward in a column of smoke.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 19] Through the LORD of Armies’ wrath, the land is burned up; and the people are the fuel for the fire. No one spares his brother.
[WEB | EN | OT | Isaiah | Chapter 9 | Verse 20] One will devour on the right hand, and be hungry; and he will eat on the left hand, and they will not be satisfied. Everyone will eat the flesh of his own arm:
