[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 1] Now, after Jesus was born in Bethlehem of Judea in the days of Herod the king, behold, there came wise men from the east to Jerusalem,
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 2] Saying, Where is he that is born king of the Jews? for we have seen his star in the east, and have come to worship him.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 3] When Herod the king had heard these things , he was troubled, and all Jerusalem with him.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 4] And when he had assembled all the chief priests and scribes of the people, he inquired of them where Christ should be born.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 5] And they said to him, In Bethlehem of Judea: for thus it is written by the prophet,
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 6] And thou Bethlehem, in the land of Judah, art not the least among the princes of Judah: for out of thee shall come a Governor, that shall rule my people Israel.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 7] Then Herod, when he had privately called the wise men, inquired of them diligently what time the star appeared.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 8] And he sent them to Bethlehem, and said, Go, and search diligently for the young child; and when ye have found him , bring me word again, that I may come and worship him also.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 9] When they had heard the king, they departed; and lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 10] When they saw the star, they rejoiced with exceeding great joy.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 11] And when they had come into the house, they saw the young child with Mary his mother, and fell down, and worshiped him: and when they had opened their treasures, they presented to him gifts; gold, and frankincense, and myrrh.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 12] And being warned by God in a dream that they should not return to Herod, they departed into their own country another way.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 13] And when they had departed, behold, the angel of the Lord appeareth to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and be thou there until I bring thee word: for Herod will seek the young child to destroy him.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 14] When he arose, he took the young child and his mother by night, and departed into Egypt:
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 15] And was there until the death of Herod: that it might be fulfilled which was spoken from the Lord by the prophet, saying, Out of Egypt have I called my son.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 16] Then Herod, when he saw that he was mocked by the wise men, was exceeding wroth, and sent forth, and slew all the children that were in Bethlehem, and in all its borders, from two years old and under, according to the time which he had diligently inquired of the wise men.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 17] Then was fulfilled that which was spoken by Jeremiah the prophet, saying,
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 18] In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 19] But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 20] Saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead who sought the young child's life.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 21] And he arose, and took the young child and his mother, and came into the land of Israel.
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 22] But when he heard that Archelaus reigned in Judea in the room of his father Herod, he was afraid to go thither: notwithstanding, being warned by God in a dream, he turned aside into the parts of Galilee:
[WEBSTER | EN | NT | Matthew | Chapter 2 | Verse 23] And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene.
