[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 1] Now as concerning things offered to idols, we know that we all have knowledge. Knowledge puffeth up, but charity edifieth.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 2] And if any man thinketh that he knoweth any thing, he knoweth nothing yet as he ought to know.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 3] But if any man loveth God, the same is known by him.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 4] Therefore as concerning the eating of those things that are offered in sacrifice to idols, we know that an idol is nothing in the world, and that there is no other God but one.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 5] For though there are that are called gods, whether in heaven or upon earth, (as there are gods many, and lords many)
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 6] Yet to us there is but one God, the Father, from whom are all things, and we in him; and one Lord Jesus Christ, by whom are all things, and we by him.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 7] But there is not in every man that knowledge: for some with conscience of the idol to this hour eat it as a thing offered to an idol; and their conscience, being weak, is defiled.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 8] But food commendeth us not to God: for neither if we eat, are we the better; neither if we eat not, are we the worse.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 9] But take heed lest by any means this liberty of yours should become a stumbling-block to them that are weak.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 10] For if any man shall see thee, who hast knowledge, sit eating in the idol's temple, will not the conscience of him who is weak be emboldened to eat those things which are offered to idols;
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 11] And through thy knowledge shall the weak brother perish, for whom Christ died?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 12] But when ye thus sin against the brethren, and wound their weak conscience, ye sin against Christ.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 8 | Verse 13] Wherefore, if food maketh my brother to fall into sin, I will eat no flesh while the world standeth, lest I make my brother to fall into sin.
