[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 1] And the LORD spoke to Moses, saying,
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 2] Command the children of Israel, that they bring to thee pure olive oil beaten for the light, to cause the lamps to burn continually.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 3] Without the vail of the testimony, in the tabernacle of the congregation, shall Aaron order it from the evening to the morning before the LORD continually: It shall be a statute for ever in your generations.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 4] Ye shall order the lamps upon the pure candlestick before the LORD continually.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 5] And thou shalt take fine flour, and bake twelve cakes of it: two tenth-parts shall be in one cake.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 6] And thou shalt set them in two rows, six in a row, upon the pure table before the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 7] And thou shalt put pure frankincense upon each row, that it may be on the bread for a memorial, even an offering made by fire to the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 8] Every sabbath he shall set it in order before the LORD continually, being taken from the children of Israel by an everlasting covenant.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 9] And it shall be Aaron's and his sons'; and they shall eat it in the holy place: for it is most holy to him of the offerings of the LORD made by fire by a perpetual statute.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 10] And the son of an Israelitish woman whose father was an Egyptian, went out among the children of Israel; and this son of the Israelitish woman and a man of Israel strove together in the camp;
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 11] And the Israelitish woman's son blasphemed the name of the LORD , and cursed: and they brought him to Moses: (and his mother's name was Shelomith, the daughter of Dibri, of the tribe of Dan:)
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 12] And they put him in custody, that the mind of the LORD might be shown to them.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 13] And the LORD spoke to Moses, saying,
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 14] Bring forth him that hath cursed without the camp; and let all that heard him lay their hands upon his head, and let all the congregation stone him.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 15] And thou shalt speak to the children of Israel, saying, Whoever curseth his God shall bear his sin.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 16] And he that blasphemeth the name of the LORD, he shall surely be put to death, and all the congregation shall certainly stone him: as well the stranger, as he that is born in the land, when he blasphemeth the name of the LORD , shall be put to death.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 17] And he that killeth any man shall surely be put to death.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 18] And he that killeth a beast shall make it good; beast for beast.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 19] And if a man shall cause a blemish in his neighbor; as he hath done, so shall it be done to him;
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 20] Breach for breach, eye for eye, tooth for tooth: as he hath caused a blemish in a man, so shall it be done to him.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 21] And he that killeth a beast, he shall restore it: and he that killeth a man, he shall be put to death.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 22] Ye shall have one manner of law, as well for the stranger, as for one of your own country: for I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 24 | Verse 23] And Moses spoke to the children of Israel, that they should bring forth him that had cursed out of the camp, and stone him with stones: and the children of Israel did as the LORD commanded Moses.
