[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 1] Be not thou envious against evil men, neither desire to be with them.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 2] For their heart studieth destruction, and their lips talk of mischief.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 3] Through wisdom is a house built; and by understanding it is established:
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 4] And by knowledge shall the chambers be filled with all precious and pleasant riches.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 5] A wise man is strong; and a man of knowledge increaseth strength.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 6] For by wise counsel thou shalt make thy war: and in multitude of counselors there is safety.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 7] Wisdom is too high for a fool: he openeth not his mouth in the gate.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 8] He that deviseth to do evil shall be called a mischievous person.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 9] The thought of foolishness is sin: and the scorner is an abomination to men.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 10] If thou faintest in the day of adversity, thy strength is small.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 11] If thou forbearest to deliver them that are drawn to death, and those that are ready to be slain;
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 12] If thou sayest, Behold, we knew it not; doth not he that pondereth the heart consider it ? and he that keepeth thy soul, doth not he know it ? and will not he render to every man according to his works?
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 13] My son, eat thou honey, because it is good; and the honey-comb, which is sweet to thy taste:
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 14] So shall the knowledge of wisdom be to thy soul: when thou hast found it , then there shall be a reward, and thy expectation shall not be cut off.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 15] Lay not wait, O wicked man , against the dwelling of the righteous; destroy not his resting-place:
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 16] For a just man falleth seven times, and riseth again: but the wicked shall fall into mischief.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 17] Rejoice not when thy enemy falleth, and let not thy heart be glad when he stumbleth:
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 18] Lest the LORD see it , and it displease him, and he turn away his wrath from him.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 19] Fret not thyself because of evil men , neither be thou envious at the wicked;
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 20] For there shall be no reward to the evil man ; the candle of the wicked shall be extinguished.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 21] My son, fear thou the LORD and the king: and meddle not with them that are given to change:
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 22] For their calamity shall rise suddenly; and who knoweth the ruin of them both?
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 23] These things also belong to the wise. It is not good to have respect of persons in judgment.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 24] He that saith to the wicked, Thou art righteous; him shall the people curse, nations shall abhor him:
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 25] But to them that rebuke him shall be delight, and a good blessing shall come upon them.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 26] Every man shall kiss his lips that giveth a right answer.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 27] Prepare thy work without, and make it fit for thyself in the field; and afterwards build thy house.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 28] Be not a witness against thy neighbor without cause; and deceive not with thy lips.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 29] Say not, I will do so to him as he hath done to me: I will render to the man according to his work.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 30] I went by the field of the slothful, and by the vineyard of the man void of understanding;
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 31] And lo, it was all grown over with thorns, and nettles had covered the face of it, and its stone wall was broken down.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 32] Then I saw, and considered it well: I looked upon it , and received instruction.
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 33] Yet a little sleep, a little slumber, a little folding of the hands to sleep:
[WEBSTER | EN | OT | Proverbs | Chapter 24 | Verse 34] So shall thy poverty come as one that traveleth; and thy want as an armed man.
