[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 1] The word of the LORD that came to Joel the son of Pethuel.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 2] Hear this, ye old men, and give ear, all ye inhabitants of the land. Hath this been in your days, or even in the days of your fathers?
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 3] Tell ye your children of it, and let your children tell their children, and their children another generation.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 4] That which the palmer-worm hath left hath the locust eaten; and that which the locust hath left hath the canker-worm eaten; and that which the canker-worm hath left hath the caterpillar eaten.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 5] Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the new wine; for it is cut off from your mouth.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 6] For a nation is come up upon my land, strong, and without number, whose teeth are the teeth of a lion, and he hath the cheek teeth of a great lion.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 7] He hath laid my vine waste, and barked my fig-tree: he hath made it clean bare, and cast it away; its branches are made white.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 8] Lament like a virgin girded with sackcloth for the husband of her youth.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 9] The meat-offering and the drink-offering is cut off from the house of the LORD; the priests, the LORD'S ministers, mourn.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 10] The field is wasted, the land mourneth; for the corn is wasted; the new wine is dried up, the oil languisheth.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 11] Be ye ashamed, O ye husbandmen; howl, O ye vine-dressers, for the wheat and for the barley; because the harvest of the field hath perished.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 12] The vine is dried up, and the fig-tree languisheth; the pomegranate-tree, the palm-tree also, and the apple-tree, even all the trees of the field, are withered: because joy is withered away from the sons of men.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 13] Gird yourselves, and lament, ye priests: howl, ye ministers of the altar: come, lie all night in sackcloth, ye ministers of my God: for the meat-offering and the drink-offering is withheld from the house of your God.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 14] Sanctify ye a fast, call a solemn assembly, gather the elders and all the inhabitants of the land into the house of the LORD your God, and cry to the LORD,
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 15] Alas for the day! for the day of the LORD is at hand, and as a destruction from the Almighty shall it come.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 16] Is not the food cut off before our eyes, and joy and gladness from the house of our God?
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 17] The seed hath perished under their clods, the granaries are laid desolate, the barns are broken down; for the corn is withered.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 18] How do the beasts groan! the herds of cattle are perplexed, because they have no pasture; yes, the flocks of sheep are made desolate.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 19] O LORD, to thee will I cry: for the fire hath devoured the pastures of the wilderness, and the flame hath burned all the trees of the field.
[WEBSTER | EN | OT | Joel | Chapter 1 | Verse 20] The beasts of the field cry also to thee: for the rivers of waters are dried up, and the fire hath devoured the pastures of the wilderness.
