[LXX | EL | OT | Psalms | Chapter 79 | Verse 1] Εἰς τὸ τέλος, ὑπὲρ τῶν ἀλλοιωθησομένων, μαρτύριον τῷ Ἀσὰφ, ψαλμὸς ὑπὲρ τοῦ Ἀσσυρίου.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 2] Ὁ Ποιμαίνων τὸν Ἰσραὴλ πρόσχες, ὁ ὁδηγῶν ὡσεὶ πρόβατα τὸν Ἰωσήφ· ὁ καθήμενος ἐπὶ τῶν χερουβὶμ ἐμφάνηθι,
[LXX | EL | OT | Psalms | Chapter 79 | Verse 3] ἐναντίον Ἐφραὶμ καὶ Βενιαμὶν καὶ Μανασσῆ· ἐξέγειρον τὴν δυναστείαν σου καὶ ἐλθὲ εἰς τὸ σῶσαι ἡμᾶς.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 4] Ὁ Θεὸς ἐπίστρεψον ἡμᾶς, καὶ ἐπίφανον τὸ πρόσωπόν σου, καὶ σωθησόμεθα.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 5] Κύριε ὁ Θεὸς τῶν δυνάμεων, ἕως πότε ὀργίζῃ ἐπὶ τὴν προσευχὴν τοῦ δούλου σου;
[LXX | EL | OT | Psalms | Chapter 79 | Verse 6] Ψωμιεῖς ἡμᾶς ἄρτον δακρύων, καὶ ποτιεῖς ἡμᾶς ἐν δάκρυσιν ἐν μέτρῳ.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 7] Ἔθου ἡμᾶς εἰς ἀντιλογίαν τοῖς γείτοσιν ἡμῶν, καὶ οἱ ἐχθροὶ ἡμῶν ἐμυκτήρισαν ἡμᾶς.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 8] Κύριε ὁ Θεὸς τῶν δυνάμεων ἐπίστρεψον ἡμᾶς, καὶ ἐπίφανον τὸ πρόσωπόν σου, καὶ σωθησόμεθα· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 9] Ἄμπελον ἐξ Αἰγύπτου μετῇρας, ἐξέβαλες ἔθνη καὶ κατεφύτευσας αὐτήν.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 10] Ὡδοποίησας ἔμπροσθεν αὐτῆς, καὶ κατεφύτευσας τὰς ῥίζας αὐτῆς, καὶ ἐπλήσθη ἡ γῆ.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 11] Ἐκάλυψεν ὄρη ἡ σκιὰ αὐτῆς, καὶ αἱ ἀναδενδράδες αὐτῆς τὰς κέδρους τοῦ Θεοῦ.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 12] Ἐξέτεινε τὰ κλήματα αὐτῆς ἕως θαλάσσης, καὶ ἕως ποταμοῦ τὰς παραφυάδας αὐτῆς.
[LXX | EL | OT | Psalms | Chapter 79 | Verse 13] Ἱνατί καθεῖλες τὸν φραγμὸν αὐτῆς, καὶ τρυγῶσιν αὐτὴν πάντες οἱ παραπορευόμενοι τὴν ὁδόν;
