[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 1] Καὶ ἐκπορευομένου αὐτοῦ ἐκ τοῦ ἱεροῦ λέγει αὐτῷ εἷς τῶν μαθητῶν αὐτοῦ· Διδάσκαλε, ἴδε ποταποὶ λίθοι καὶ ποταπαὶ οἰκοδομαί.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 2] καὶ ὁ ⸀Ἰησοῦς εἶπεν αὐτῷ· Βλέπεις ταύτας τὰς μεγάλας οἰκοδομάς; οὐ μὴ ἀφεθῇ ⸀ὧδε λίθος ἐπὶ ⸀λίθον ὃς οὐ μὴ καταλυθῇ.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 3] Καὶ καθημένου αὐτοῦ εἰς τὸ Ὄρος τῶν Ἐλαιῶν κατέναντι τοῦ ἱεροῦ ⸀ἐπηρώτα αὐτὸν κατʼ ἰδίαν Πέτρος καὶ Ἰάκωβος καὶ Ἰωάννης καὶ Ἀνδρέας·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 4] Εἰπὸν ἡμῖν πότε ταῦτα ἔσται, καὶ τί τὸ σημεῖον ὅταν μέλλῃ ⸂ταῦτα συντελεῖσθαι πάντα⸃.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 5] ὁ δὲ Ἰησοῦς ⸂ἤρξατο λέγειν αὐτοῖς⸃· Βλέπετε μή τις ὑμᾶς πλανήσῃ·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 6] ⸀πολλοὶ ἐλεύσονται ἐπὶ τῷ ὀνόματί μου λέγοντες ὅτι Ἐγώ εἰμι, καὶ πολλοὺς πλανήσουσιν.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 7] ὅταν δὲ ⸀ἀκούσητε πολέμους καὶ ἀκοὰς πολέμων, μὴ θροεῖσθε· ⸀δεῖ γενέσθαι, ἀλλʼ οὔπω τὸ τέλος.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 8] ἐγερθήσεται γὰρ ἔθνος ἐπʼ ἔθνος καὶ βασιλεία ἐπὶ βασιλείαν, ⸀ἔσονται σεισμοὶ κατὰ τόπους, ⸁ἔσονται ⸀λιμοί· ⸀ἀρχὴ ὠδίνων ταῦτα.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 9] βλέπετε δὲ ὑμεῖς ἑαυτούς· ⸀παραδώσουσιν ὑμᾶς εἰς συνέδρια καὶ εἰς συναγωγὰς δαρήσεσθε καὶ ἐπὶ ἡγεμόνων καὶ βασιλέων σταθήσεσθε ἕνεκεν ἐμοῦ εἰς μαρτύριον αὐτοῖς.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 10] καὶ εἰς πάντα τὰ ἔθνη ⸂πρῶτον δεῖ⸃ κηρυχθῆναι τὸ εὐαγγέλιον.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 11] ⸂καὶ ὅταν⸃ ⸀ἄγωσιν ὑμᾶς παραδιδόντες, μὴ προμεριμνᾶτε τί ⸀λαλήσητε, ἀλλʼ ὃ ἐὰν δοθῇ ὑμῖν ἐν ἐκείνῃ τῇ ὥρᾳ τοῦτο λαλεῖτε, οὐ γάρ ἐστε ὑμεῖς οἱ λαλοῦντες ἀλλὰ τὸ πνεῦμα τὸ ἅγιον.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 12] ⸂καὶ παραδώσει⸃ ἀδελφὸς ἀδελφὸν εἰς θάνατον καὶ πατὴρ τέκνον, καὶ ἐπαναστήσονται τέκνα ἐπὶ γονεῖς καὶ θανατώσουσιν αὐτούς·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 13] καὶ ἔσεσθε μισούμενοι ὑπὸ πάντων διὰ τὸ ὄνομά μου. ὁ δὲ ὑπομείνας εἰς τέλος οὗτος σωθήσεται.
