[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 1] Καὶ διαγενομένου τοῦ σαββάτου ⸀Μαρία ἡ Μαγδαληνὴ καὶ Μαρία ⸂ἡ τοῦ⸃ Ἰακώβου καὶ Σαλώμη ἠγόρασαν ἀρώματα ἵνα ἐλθοῦσαι ἀλείψωσιν αὐτόν.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 2] καὶ λίαν πρωῒ ⸂τῇ μιᾷ τῶν⸃ σαββάτων ἔρχονται ἐπὶ τὸ μνημεῖον ἀνατείλαντος τοῦ ἡλίου.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 3] καὶ ἔλεγον πρὸς ἑαυτάς· Τίς ἀποκυλίσει ἡμῖν τὸν λίθον ⸀ἐκ τῆς θύρας τοῦ μνημείου;
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 4] καὶ ἀναβλέψασαι θεωροῦσιν ὅτι ⸀ἀποκεκύλισται ὁ λίθος, ἦν γὰρ μέγας σφόδρα.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 5] καὶ εἰσελθοῦσαι εἰς τὸ μνημεῖον εἶδον νεανίσκον καθήμενον ἐν τοῖς δεξιοῖς περιβεβλημένον στολὴν λευκήν, καὶ ἐξεθαμβήθησαν.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 6] ὁ δὲ λέγει αὐταῖς· Μὴ ἐκθαμβεῖσθε· Ἰησοῦν ζητεῖτε τὸν Ναζαρηνὸν τὸν ἐσταυρωμένον· ἠγέρθη, οὐκ ἔστιν ὧδε· ἴδε ὁ τόπος ὅπου ἔθηκαν αὐτόν·
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 7] ἀλλὰ ὑπάγετε εἴπατε τοῖς μαθηταῖς αὐτοῦ καὶ τῷ Πέτρῳ ὅτι Προάγει ὑμᾶς εἰς τὴν Γαλιλαίαν· ἐκεῖ αὐτὸν ὄψεσθε, καθὼς εἶπεν ὑμῖν.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 8] καὶ ἐξελθοῦσαι ἔφυγον ἀπὸ τοῦ μνημείου, εἶχεν ⸀γὰρ αὐτὰς τρόμος καὶ ἔκστασις· καὶ οὐδενὶ οὐδὲν εἶπαν, ἐφοβοῦντο ⸁γάρ. ⟦Πάντα δὲ τὰ παρηγγελμένα τοῖς περὶ τὸν Πέτρον συντόμως ἐξήγγειλαν. μετὰ δὲ ταῦτα καὶ αὐτὸς ὁ Ἰησοῦς ἀπὸ ἀνατολῆς καὶ ἄχρι δύσεως ἐξαπέστειλεν διʼ αὐτῶν τὸ ἱερὸν καὶ ἄφθαρτον κήρυγμα τῆς αἰωνίου σωτηρίας. ἀμήν.⟧
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 9] ⟦Ἀναστὰς δὲ πρωῒ πρώτῃ σαββάτου ἐφάνη πρῶτον Μαρίᾳ τῇ Μαγδαληνῇ, ⸀παρʼ ἧς ἐκβεβλήκει ἑπτὰ δαιμόνια.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 10] ἐκείνη πορευθεῖσα ἀπήγγειλεν τοῖς μετʼ αὐτοῦ γενομένοις πενθοῦσι καὶ κλαίουσιν·
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 11] κἀκεῖνοι ἀκούσαντες ὅτι ζῇ καὶ ἐθεάθη ὑπʼ αὐτῆς ἠπίστησαν.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 12] Μετὰ δὲ ταῦτα δυσὶν ἐξ αὐτῶν περιπατοῦσιν ἐφανερώθη ἐν ἑτέρᾳ μορφῇ πορευομένοις εἰς ἀγρόν·
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 13] κἀκεῖνοι ἀπελθόντες ἀπήγγειλαν τοῖς λοιποῖς· οὐδὲ ἐκείνοις ἐπίστευσαν.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 14] Ὕστερον ⸀δὲ ἀνακειμένοις αὐτοῖς τοῖς ἕνδεκα ἐφανερώθη, καὶ ὠνείδισεν τὴν ἀπιστίαν αὐτῶν καὶ σκληροκαρδίαν ὅτι τοῖς θεασαμένοις αὐτὸν ⸀ἐγηγερμένον οὐκ ἐπίστευσαν.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 15] καὶ εἶπεν αὐτοῖς· Πορευθέντες εἰς τὸν κόσμον ἅπαντα κηρύξατε τὸ εὐαγγέλιον πάσῃ τῇ κτίσει.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 16] ὁ πιστεύσας καὶ βαπτισθεὶς σωθήσεται, ὁ δὲ ἀπιστήσας κατακριθήσεται.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 17] σημεῖα δὲ τοῖς πιστεύσασιν ⸂ταῦτα παρακολουθήσει⸃, ἐν τῷ ὀνόματί μου δαιμόνια ἐκβαλοῦσιν, γλώσσαις λαλήσουσιν ⸀καιναῖς,
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 18] ⸀ὄφεις ἀροῦσιν κἂν θανάσιμόν τι πίωσιν οὐ μὴ αὐτοὺς βλάψῃ, ἐπὶ ἀρρώστους χεῖρας ἐπιθήσουσιν καὶ καλῶς ἕξουσιν.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 19] Ὁ μὲν οὖν κύριος ⸀Ἰησοῦς μετὰ τὸ λαλῆσαι αὐτοῖς ἀνελήμφθη εἰς τὸν οὐρανὸν καὶ ἐκάθισεν ἐκ δεξιῶν τοῦ θεοῦ.
[SBLGNT | EL | NT | Mark | Chapter 16 | Verse 20] ἐκεῖνοι δὲ ἐξελθόντες ἐκήρυξαν πανταχοῦ, τοῦ κυρίου συνεργοῦντος καὶ τὸν λόγον βεβαιοῦντος διὰ τῶν ἐπακολουθούντων ⸀σημείων.⟧
