[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 1] Λαλούντων δὲ αὐτῶν πρὸς τὸν λαόν, ἐπέστησαν αὐτοῖς οἱ ἱερεῖς καὶ ὁ στρατηγὸς τοῦ ἱεροῦ καὶ οἱ Σαδδουκαῖοι,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 2] διαπονούμενοι διὰ τὸ διδάσκειν αὐτοὺς τὸν λαόν, καὶ καταγγέλλειν ἐν τῷ Ἰησοῦ τὴν ἀνάστασιν τὴν ἐκ νεκρῶν.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 3] Καὶ ἐπέβαλον αὐτοῖς τὰς χεῖρας, καὶ ἔθεντο εἰς τήρησιν εἰς τὴν αὔριον· ἦν γὰρ ἑσπέρα ἤδη.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 4] Πολλοὶ δὲ τῶν ἀκουσάντων τὸν λόγον ἐπίστευσαν· καὶ ἐγενήθη ὁ ἀριθμὸς τῶν ἀνδρῶν ὡσεὶ χιλιάδες πέντε.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 5] Ἐγένετο δὲ ἐπὶ τὴν αὔριον συναχθῆναι αὐτῶν τοὺς ἄρχοντας καὶ πρεσβυτέρους καὶ γραμματεῖς εἰς Ἱερουσαλήμ,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 6] καὶ Ἄνναν τὸν ἀρχιερέα, καὶ Καϊάφαν, καὶ Ἰωάννην, καὶ Ἀλέξανδρον, καὶ ὅσοι ἦσαν ἐκ γένους ἀρχιερατικοῦ.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 7] Καὶ στήσαντες αὐτοὺς ἐν τῷ μέσῳ ἐπυνθάνοντο, Ἐν ποίᾳ δυνάμει ἢ ἐν ποίῳ ὀνόματι ἐποιήσατε τοῦτο ὑμεῖς;
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 8] Τότε Πέτρος πλησθεὶς πνεύματος ἁγίου εἶπε πρὸς αὐτούς, Ἄρχοντες τοῦ λαοῦ καὶ πρεσβύτεροι τοῦ Ἰσραήλ,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 9] εἰ ἡμεῖς σήμερον ἀνακρινόμεθα ἐπὶ εὐεργεσίᾳ ἀνθρώπου ἀσθενοῦς, ἐν τίνι οὗτος σέσῳσται·
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 10] γνωστὸν ἔστω πᾶσιν ὑμῖν καὶ παντὶ τῷ λαῷ Ἰσραήλ, ὅτι ἐν τῷ ὀνόματι Ἰησοῦ Χριστοῦ τοῦ Ναζωραίου, ὃν ὑμεῖς ἐσταυρώσατε, ὃν ὁ Θεὸς ἤγειρεν ἐκ νεκρῶν, ἐν τούτῳ οὗτος παρέστηκεν ἐνώπιον ὑμῶν ὑγιής.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 11] Οὗτός ἐστιν ὁ λίθος ὁ ἐξουθενηθεὶς ὑφ᾿ ὑμῶν τῶν οἰκοδομούντων, ὁ γενόμενος εἰς κεφαλὴν γωνίας.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 12] Καὶ οὐκ ἔστιν ἐν ἄλλῳ οὐδενὶ ἡ σωτηρία· οὔτε γὰρ ὄνομά ἐστιν ἕτερον ὑπὸ τὸν οὐρανὸν τὸ δεδομένον ἐν ἀνθρώποις, ἐν ᾧ δεῖ σωθῆναι ἡμᾶς.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 13] Θεωροῦντες δὲ τὴν τοῦ Πέτρου παρρησίαν καὶ Ἰωάννου, καὶ καταλαβόμενοι ὅτι ἄνθρωποι ἀγράμματοί εἰσι καὶ ἰδιῶται, ἐθαύμαζον, ἐπεγίνωσκόν τε αὐτοὺς ὅτι σὺν τῷ Ἰησοῦ ἦσαν.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 14] Τὸν δὲ ἄνθρωπον βλέποντες σὺν αὐτοῖς ἑστῶτα τὸν τεθεραπευμένον, οὐδὲν εἶχον ἀντειπεῖν.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 15] Κελεύσαντες δὲ αὐτοὺς ἔξω τοῦ συνεδρίου ἀπελθεῖν, συνέβαλον πρὸς ἀλλήλους,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 16] λέγοντες, Τί ποιήσομεν τοῖς ἀνθρώποις τούτοις; Ὅτι μὲν γὰρ γνωστὸν σημεῖον γέγονε δι᾿ αὐτῶν, πᾶσι τοῖς κατοικοῦσιν Ἱερουσαλὴμ φανερόν, καὶ οὐ δυνάμεθα ἀρνήσασθαι.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 17] Ἀλλ᾿ ἵνα μὴ ἐπὶ πλεῖον διανεμηθῇ εἰς τὸν λαόν, ἀπειλῇ ἀπειλησώμεθα αὐτοῖς μηκέτι λαλεῖν ἐπὶ τῷ ὀνόματι τούτῳ μηδενὶ ἀνθρώπων.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 18] Καὶ καλέσαντες αὐτούς, παρήγγειλαν αὐτοῖς τὸ καθόλου μὴ φθέγγεσθαι μηδὲ διδάσκειν ἐπὶ τῷ ὀνόματι τοῦ Ἰησοῦ.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 19] Ὁ δὲ Πέτρος καὶ Ἰωάννης ἀποκριθέντες πρὸς αὐτοὺς εἶπον, Εἰ δίκαιόν ἐστιν ἐνώπιον τοῦ Θεοῦ ὑμῶν ἀκούειν μᾶλλον ἢ τοῦ Θεοῦ, κρίνατε.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 20] Οὐ δυνάμεθα γὰρ ἡμεῖς, ἃ εἴδομεν καὶ ἠκούσαμεν, μὴ λαλεῖν.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 21] Οἱ δὲ προσαπειλησάμενοι ἀπέλυσαν αὐτούς, μηδὲν εὑρίσκοντες τὸ πῶς κολάσωνται αὐτούς, διὰ τὸν λαόν, ὅτι πάντες ἐδόξαζον τὸν Θεὸν ἐπὶ τῷ γεγονότι.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 22] Ἐτῶν γὰρ ἦν πλειόνων τεσσαράκοντα ὁ ἄνθρωπος ἐφ᾿ ὃν ἐγεγόνει τὸ σημεῖον τοῦτο τῆς ἰάσεως.
