[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 1] Λέγω οὖν, μὴ ἀπώσατο ὁ Θεὸς τὸν λαὸν αὐτοῦ; Μὴ γένοιτο. Καὶ γὰρ ἐγὼ Ἰσραηλίτης εἰμί, ἐκ σπέρματος Ἀβραάμ, φυλῆς Βενιαμίν.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 2] Οὐκ ἀπώσατο ὁ Θεὸς τὸν λαὸν αὐτοῦ ὃν προέγνω. Ἢ οὐκ οἴδατε ἐν Ἠλίᾳ τί λέγει ἡ γραφή; Ὡς ἐντυγχάνει τῷ Θεῷ κατὰ τοῦ Ἰσραήλ, λέγων,
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 3] Κύριε, τοὺς προφήτας σου ἀπέκτειναν, καὶ τὰ θυσιαστήριά σου κατέσκαψαν· κἀγὼ ὑπελείφθην μόνος, καὶ ζητοῦσι τὴν ψυχήν μου.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 4] Ἀλλὰ τί λέγει αὐτῷ ὁ χρηματισμός; Κατέλιπον ἐμαυτῷ ἑπτακισχιλίους ἄνδρας, οἵτινες οὐκ ἔκαμψαν γόνυ τῇ Βάαλ.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 5] Οὕτως οὖν καὶ ἐν τῷ νῦν καιρῷ λεῖμμα κατ᾿ ἐκλογὴν χάριτος γέγονεν.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 6] Εἰ δὲ χάριτι, οὐκέτι ἐξ ἔργων· ἐπεὶ ἡ χάρις οὐκέτι γίνεται χάρις. Εἰ δὲ ἐξ ἔργων, οὐκέτι ἐστὶ χάρις· ἐπεὶ τὸ ἔργον οὐκέτι ἐστὶν ἔργον.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 7] Τί οὖν; Ὃ ἐπιζητεῖ Ἰσραήλ, τούτου οὐκ ἐπέτυχεν, ἡ δὲ ἐκλογὴ ἐπέτυχεν, οἱ δὲ λοιποὶ ἐπωρώθησαν·
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 8] καθὼς γέγραπται, Ἔδωκεν αὐτοῖς ὁ Θεὸς πνεῦμα κατανύξεως, ὀφθαλμοὺς τοῦ μὴ βλέπειν, καὶ ὦτα τοῦ μὴ ἀκούειν, ἕως τῆς σήμερον ἡμέρας.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 9] Καὶ Δαβὶδ λέγει, Γενηθήτω ἡ τράπεζα αὐτῶν εἰς παγίδα καὶ εἰς θήραν, καὶ εἰς σκάνδαλον, καὶ εἰς ἀνταπόδομα αὐτοῖς·
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 10] σκοτισθήτωσαν οἱ ὀφθαλμοὶ αὐτῶν τοῦ μὴ βλέπειν, καὶ τὸν νῶτον αὐτῶν διὰ παντὸς σύγκαμψον.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 11] Λέγω οὖν, μὴ ἔπταισαν ἵνα πέσωσι; Μὴ γένοιτο· ἀλλὰ τῷ αὐτῶν παραπτώματι ἡ σωτηρία τοῖς ἔθνεσιν, εἰς τὸ παραζηλῶσαι αὐτούς.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 12] Εἰ δὲ τὸ παράπτωμα αὐτῶν πλοῦτος κόσμου, καὶ τὸ ἥττημα αὐτῶν πλοῦτος ἐθνῶν, πόσῳ μᾶλλον τὸ πλήρωμα αὐτῶν;
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 13] Ὑμῖν γὰρ λέγω τοῖς ἔθνεσιν. Ἐφ᾿ ὅσον μέν εἰμι ἐγὼ ἐθνῶν ἀπόστολος, τὴν διακονίαν μου δοξάζω·
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 14] εἴ πως παραζηλώσω μου τὴν σάρκα, καὶ σώσω τινὰς ἐξ αὐτῶν.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 15] Εἰ γὰρ ἡ ἀποβολὴ αὐτῶν καταλλαγὴ κόσμου, τίς ἡ πρόσληψις, εἰ μὴ ζωὴ ἐκ νεκρῶν;
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 16] Εἰ δὲ ἡ ἀπαρχὴ ἁγία, καὶ τὸ φύραμα· καὶ εἰ ἡ ῥίζα ἁγία, καὶ οἱ κλάδοι.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 17] Εἰ δέ τινες τῶν κλάδων ἐξεκλάσθησαν, σὺ δὲ ἀγριέλαιος ὢν ἐνεκεντρίσθης ἐν αὐτοῖς, καὶ συγκοινωνὸς τῆς ῥίζης καὶ τῆς πιότητος τῆς ἐλαίας ἐγένου,
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 18] μὴ κατακαυχῶ τῶν κλάδων· εἰ δὲ κατακαυχᾶσαι, οὐ σὺ τὴν ῥίζαν βαστάζεις, ἀλλ᾿ ἡ ῥίζα σέ.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 19] Ἐρεῖς οὖν, Ἐξεκλάσθησαν οἱ κλάδοι, ἵνα ἐγὼ ἐγκεντρισθῶ.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 20] Καλῶς· τῇ ἀπιστίᾳ ἐξεκλάσθησαν, σὺ δὲ τῇ πίστει ἕστηκας. Μὴ ὑψηλοφρόνει, ἀλλὰ φοβοῦ·
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 21] εἰ γὰρ ὁ Θεὸς τῶν κατὰ φύσιν κλάδων οὐκ ἐφείσατο, μήπως οὐδέ σου φείσηται.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 22] Ἴδε οὖν χρηστότητα καὶ ἀποτομίαν Θεοῦ· ἐπὶ μὲν τοὺς πεσόντας, ἀποτομίαν· ἐπὶ δὲ σὲ, χρηστότητα, ἐὰν ἐπιμείνῃς τῇ χρηστότητι· ἐπεὶ καὶ σὺ ἐκκοπήσῃ.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 23] Καὶ ἐκεῖνοι δέ, ἐὰν μὴ ἐπιμείνωσι τῇ ἀπιστίᾳ, ἐγκεντρισθήσονται· δυνατὸς γάρ ἐστιν ὁ Θεός πάλιν ἐγκεντρίσαι αὐτούς.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 24] Εἰ γὰρ σὺ ἐκ τῆς κατὰ φύσιν ἐξεκόπης ἀγριελαίου, καὶ παρὰ φύσιν ἐνεκεντρίσθης εἰς καλλιέλαιον, πόσῳ μᾶλλον οὗτοι, οἱ κατὰ φύσιν, ἐγκεντρισθήσονται τῇ ἰδίᾳ ἐλαίᾳ;
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 25] Οὐ γὰρ θέλω ὑμᾶς ἀγνοεῖν, ἀδελφοί, τὸ μυστήριον τοῦτο, ἵνα μὴ ἦτε παρ᾿ ἑαυτοῖς φρόνιμοι, ὅτι πώρωσις ἀπὸ μέρους τῷ Ἰσραὴλ γέγονεν, ἄχρις οὗ τὸ πλήρωμα τῶν ἐθνῶν εἰσέλθῃ·
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 26] καὶ οὕτω πᾶς Ἰσραὴλ σωθήσεται· καθὼς γέγραπται, Ἥξει ἐκ Σιὼν ὁ ῥυόμενος, καὶ ἀποστρέψει ἀσεβείας ἀπὸ Ἰακώβ·
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 27] καὶ αὕτη αὐτοῖς ἡ παρ᾿ ἐμοῦ διαθήκη, ὅταν ἀφέλωμαι τὰς ἁμαρτίας αὐτῶν.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 28] Κατὰ μὲν τὸ εὐαγγέλιον, ἐχθροὶ δι᾿ ὑμᾶς· κατὰ δὲ τὴν ἐκλογήν, ἀγαπητοὶ διὰ τοὺς πατέρας.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 29] Ἀμεταμέλητα γὰρ τὰ χαρίσματα καὶ ἡ κλῆσις τοῦ Θεοῦ.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 30] Ὥσπερ γὰρ καὶ ὑμεῖς ποτὲ ἠπειθήσατε τῷ Θεῷ, νῦν δὲ ἠλεήθητε τῇ τούτων ἀπειθείᾳ·
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 31] οὕτω καὶ οὗτοι νῦν ἠπείθησαν, τῷ + 11:31 ὑμετέρῳ ¦ ἡμετέρῳ ELZ ὑμετέρῳ ἐλέει ἵνα καὶ αὐτοὶ ἐλεηθῶσι·
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 32] συνέκλεισε γὰρ ὁ Θεὸς τοὺς πάντας εἰς ἀπείθειαν, ἵνα τοὺς πάντας ἐλεήσῃ.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 33] Ὦ βάθος πλούτου καὶ σοφίας καὶ γνώσεως Θεοῦ. Ὡς ἀνεξερεύνητα τὰ κρίματα αὐτοῦ, καὶ ἀνεξιχνίαστοι αἱ ὁδοὶ αὐτοῦ.
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 34] Τίς γὰρ ἔγνω νοῦν Κυρίου; Ἢ τίς σύμβουλος αὐτοῦ ἐγένετο;
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 35] Ἢ τίς προέδωκεν αὐτῷ, καὶ ἀνταποδοθήσεται αὐτῷ;
[GRCGTR | EL | NT | Romans | Chapter 11 | Verse 36] Ὅτι ἐξ αὐτοῦ καὶ δι᾿ αὐτοῦ καὶ εἰς αὐτὸν τὰ πάντα· αὐτῷ ἡ δόξα εἰς τοὺς αἰῶνας. Ἀμήν.
