[IRV | GU | OT | Genesis | Chapter 26 | Verse 1] હવે ઇબ્રાહિમના સમયમાં પહેલો દુકાળ પડ્યો હતો, તે ઉપરાંત તે દેશમાં બીજો દુકાળ પડ્યો, ત્યારે ઇસહાક પલિસ્તીઓના રાજા અબીમેલેખની પાસે ગેરારમાં ગયો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 2] ઈશ્વરે તેને દર્શન આપીને કહ્યું, “તું મિસરમાં ન જતો; જે દેશ વિશે હું તને કહીશ ત્યાં રહે.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 3] આ દેશમાં તું પ્રવાસી થઈને રહે, હું તારી સાથે રહીશ અને તને આશીર્વાદ આપીશ; કેમ કે તને તથા તારા વંશજોને હું આ આખો દેશ આપીશ અને તારા પિતા ઇબ્રાહિમની આગળ મેં જે સોગન લીધા છે તે હું પૂરા કરીશ.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 4] હું તારા વંશજોને વધારીને આકાશના તારાઓ જેટલા કરીશ અને આ સર્વ પ્રદેશો હું તારા વંશજોને આપીશ. પૃથ્વીનાં સર્વ કુળ તારાં સંતાનમાં આશીર્વાદ પામશે.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 5] હું એમ કરીશ કેમ કે ઇબ્રાહિમે મારી વાણી માનીને મારું ફરમાન, મારી આજ્ઞાઓ, મારા વિધિઓ તથા મારા નિયમો પાળ્યા છે.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 6] તેથી ઇસહાક ગેરારમાં રહ્યો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 7] જયારે ત્યાંના માણસોએ તેની પત્ની વિષે પૂછ્યું, ત્યારે તેણે કહ્યું, “તે મારી બહેન છે.” કેમ કે તે મારી પત્ની છે, એવું કહેતાં તે ગભરાતો હતો, રખેને ત્યાંના માણસો રિબકાને લીધે તેને મારી નાખે, કારણ કે તે રૂપાળી હતી.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 8] પછી ઇસહાક ત્યાં ઘણો સમય રહ્યો અને પલિસ્તીઓના રાજા અબીમેલેખે બારીએથી જોયું તો જુઓ, ઇસહાક અને તેની પત્ની રિબકાને લાડ કરતો હતા.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 9] અબીમેલેખે ઇસહાકને બોલાવીને કહ્યું, “જો, તે નિશ્ચે તારી પત્ની છે. તો પછી તું એમ કેમ બોલ્યો કે, ‘તે મારી બહેન છે?’ ઇસહાકે તેને કહ્યું, “મેં એવું વિચારેલું કે તેને પડાવી લેવા માટે કદાચ મને કોઈ મારી નાખે.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 10] અબીમેલેખે કહ્યું, “તેં આ અમને શું કર્યું છે? લોકોમાંથી કોઈપણ એક જણે તારી પત્ની સાથે સંબંધ બાંધ્યો હોત અને એવું કર્યાને લીધે તેં અમારી પાસે અપરાધ કરાવ્યો હોત.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 11] તેથી અબીમેલેખે સર્વ લોકોને ચેતવીને કહ્યું, “આ માણસને અથવા તેની પત્નીને નુકશાન કરનાર તે નિશ્ચે માર્યો જશે.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 12] ઇસહાકે તે દેશમાં વાવણી કરી અને તે જ વર્ષે સો ગણી કાપણી કરી, કેમ કે ઈશ્વરે તેને આશીર્વાદ આપ્યો હતો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 13] તે ધનવાન થયો અને વૃદ્ધિ પામતાં ઘણો પ્રતિષ્ઠિત થયો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 14] તેની પાસે ઘણાં ઘેટાં તથા અન્ય જાનવર થયાં અને તેનું કુટુંબ પણ મોટું થયું. તેથી પલિસ્તીઓને તેના પ્રત્યે અદેખાઈ થઈ.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 15] તેથી તેના પિતા ઇબ્રાહિમના દિવસોમાં જે સર્વ કૂવા તેના પિતાના દાસોએ ખોદ્યા હતા તે પલિસ્તીઓએ માટીથી પૂરી દીધા હતા.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 16] અબીમેલેખે ઇસહાકને કહ્યું, “તું અમારી પાસેથી દૂર જા, કેમ કે તું અમારા કરતાં ઘણો બળવાન થયો છે.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 17] તેથી ઇસહાક ત્યાંથી નીકળીને ગેરારના નીચાણમાં જઈને વસ્યો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 18] તેના પિતા ઇબ્રાહિમના દિવસોમાં પાણીના જે કૂવા હતા જે તેના મરણ પછી પલિસ્તીઓએ પૂરી દીધા હતા, તે કૂવાઓ ઇસહાકે ફરીથી ખોદાવ્યા. તે કૂવાઓનાં જે નામ તેના પિતાએ રાખ્યા હતાં, તે જ નામ ઇસહાકે રાખ્યાં.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 19] જયારે ઇસહાકના દાસોએ ખીણમાં ખોદ્યું ત્યારે તેઓને ત્યાં વહેતા પાણીનો એક કૂવો મળ્યો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 20] “એ પાણી અમારું છે” એમ કહેતાં ગેરારના ઘેટાંપાળકો ઇસહાકના ઘેટાંપાળકો સાથે ઝઘડયા અને તેથી તે કૂવાનું નામ ઇસહાકે “એસેક” રાખ્યું, કેમ કે તેઓ તેની સાથે ઝઘડ્યા હતા.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 21] પછી તેઓએ બીજો કૂવો ખોદ્યો અને તે વિષે પણ તેઓ ઝઘડ્યા, તેથી તેણે તેનું નામ “સિટના” એટલે ગુસ્સાનો કૂવો રાખ્યું.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 22] ત્યાંથી નીકળી જઈને તેણે બીજો કૂવો ખોદ્યો પણ તેને સારુ તેઓ ઝઘડયા નહિ. તેથી તેણે તેનું નામ રહોબોથ રાખ્યું જેનો અર્થ એ છે કે, ‘હવે ઈશ્વરે અમારા માટે જગ્યા કરી છે તેથી આ દેશમાં અમે સમૃદ્ધ થઈશું.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 23] પછી ઇસહાક ત્યાંથી બેરશેબા ગયો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 24] તે જ રાત્રે તેને દર્શન આપીને ઈશ્વરે કહ્યું, “હું તારા પિતા ઇબ્રાહિમનો ઈશ્વર છું. બીશ નહિ, કેમ કે હું તારી સાથે છું, મારા સેવક ઇબ્રાહિમને લીધે હું તને આશીર્વાદ આપીશ અને તારો વંશ વધારીશ.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 25] ઇસહાકે ત્યાં વેદી બાંધી અને ઈશ્વર સાથે વાત કરી. ત્યાં તેણે તેનો તંબુ બાંધ્યો અને તેના દાસોએ એક કૂવો ખોદ્યો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 26] પછી અબીમેલેખ ગેરારથી તેના મિત્ર અહુઝઝાથ તથા તેના સેનાપતિ ફીકોલ સાથે ઇસહાકની પાસે આવ્યો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 27] ઇસહાકે તેઓને કહ્યું, “તમે મને નફરત કરો છો અને તમારી પાસેથી મને દૂર મોકલી દીધો છે છતાં તમે મારી પાસે કેમ આવ્યા છો?”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 28] તેઓએ કહ્યું, “અમે સ્પષ્ટ રીતે જોયું છે કે ઈશ્વર તારી સાથે છે. તેથી અમે નક્કી કર્યું કે, આપણી વચ્ચે, હા, તારી તથા અમારી વચ્ચે પ્રતિજ્ઞા કરવામાં આવે અને અમે તારી સાથે કરાર કરીએ,
[IRV | GU | OT | Genesis | Chapter 26 | Verse 29] જેમ અમે તારું નુકસાન કર્યું નથી, તારી સાથે સારો વ્યવહાર કર્યો છે અને શાંતિથી તને વિદાય કર્યો, તેમ તું અમારું નુકસાન ન કર. નિશ્ચે, તું ઈશ્વરથી આશીર્વાદિત છે.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 30] તેથી ઇસહાકે તેઓને સારુ મિજબાની કરી, તેઓ જમ્યા અને દ્રાક્ષાસવ પીધો.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 31] તેઓએ વહેલી સવારે ઊઠીને એકબીજા સાથે પ્રતિજ્ઞા કરી. પછી ઇસહાકે તેઓને વિદાય કર્યા અને તેઓ તેની પાસેથી શાંતિએ ગયા.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 32] તે જ દિવસે ઇસહાકના દાસોએ જે કૂવો ખોદ્યો હતો, તે વિષે તેઓએ આવીને કહ્યું, “અમને પાણી મળ્યું છે.”
[IRV | GU | OT | Genesis | Chapter 26 | Verse 33] તેણે કૂવાનું નામ શિબા રાખ્યુ, તેથી આજ સુધી તે નગરનું નામ બેરશેબા છે.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 34] જયારે એસાવ ચાળીસ વર્ષનો થયો ત્યારે તેણે હિત્તી બેરીની દીકરી યહૂદીથ તથા હિત્તી એલોનની દીકરી બાસમાથ સાથે લગ્ન કર્યા.
[IRV | GU | OT | Genesis | Chapter 26 | Verse 35] પણ આ સ્ત્રીઓએ ઇસહાક તથા રિબકાને દુઃખી કર્યા.
