[IRV | HI | OT | Psalms | Chapter 81 | Verse 1] परमेश्वर जो हमारा बल है, उसका गीत आनन्द से गाओ; याकूब के परमेश्वर का जयजयकार करो! (भज. 67:4)
[IRV | HI | OT | Psalms | Chapter 81 | Verse 2] गीत गाओ, डफ और मधुर बजनेवाली वीणा और सारंगी को ले आओ।
[IRV | HI | OT | Psalms | Chapter 81 | Verse 3] नये चाँद के दिन, और पूर्णमासी को हमारे पर्व के दिन नरसिंगा फूँको।
[IRV | HI | OT | Psalms | Chapter 81 | Verse 4] क्योंकि यह इस्राएल के लिये विधि, और याकूब के परमेश्वर का ठहराया हुआ नियम है।
[IRV | HI | OT | Psalms | Chapter 81 | Verse 5] इसको उसने यूसुफ में चितौनी की रीति पर उस समय चलाया, जब वह मिस्र देश के विरुद्ध चला। वहाँ मैंने एक अनजानी भाषा सुनी
[IRV | HI | OT | Psalms | Chapter 81 | Verse 6] “मैंने उनके कंधों पर से बोझ को उतार दिया; उनका टोकरी ढोना छूट गया।
[IRV | HI | OT | Psalms | Chapter 81 | Verse 7] तूने संकट में पड़कर पुकारा, तब मैंने तुझे छुड़ाया; बादल गरजने के गुप्त स्थान में से मैंने तेरी सुनी, और मरीबा नामक सोते के पास तेरी परीक्षा की। (सेला)
[IRV | HI | OT | Psalms | Chapter 81 | Verse 8] हे मेरी प्रजा, सुन, मैं तुझे चिता देता हूँ! हे इस्राएल भला हो कि तू मेरी सुने!
[IRV | HI | OT | Psalms | Chapter 81 | Verse 9] तेरे बीच में पराया ईश्वर न हो; और न तू किसी पराए देवता को दण्डवत् करना!
[IRV | HI | OT | Psalms | Chapter 81 | Verse 10] तेरा परमेश्वर यहोवा मैं हूँ, जो तुझे मिस्र देश से निकाल लाया है। तू अपना मुँह पसार, मैं उसे भर दूँगा। (भज. 37:3,4)
[IRV | HI | OT | Psalms | Chapter 81 | Verse 11] “परन्तु मेरी प्रजा ने मेरी न सुनी; इस्राएल ने मुझ को न चाहा।
[IRV | HI | OT | Psalms | Chapter 81 | Verse 12] इसलिए मैंने उसको उसके मन के हठ पर छोड़ दिया, कि वह अपनी ही युक्तियों के अनुसार चले। (प्रेरि. 14:16)
[IRV | HI | OT | Psalms | Chapter 81 | Verse 13] यदि मेरी प्रजा मेरी सुने, यदि इस्राएल मेरे मार्गों पर चले,
[IRV | HI | OT | Psalms | Chapter 81 | Verse 14] तो मैं क्षण भर में उनके शत्रुओं को दबाऊँ, और अपना हाथ उनके द्रोहियों के विरुद्ध चलाऊँ।
[IRV | HI | OT | Psalms | Chapter 81 | Verse 15] यहोवा के बैरी उसके आगे भय में दण्डवत् करें! उन्हें हमेशा के लिए अपमानित किया जाएगा।
[IRV | HI | OT | Psalms | Chapter 81 | Verse 16] मैं उनको उत्तम से उत्तम गेहूँ खिलाता, और मैं चट्टान के मधु से उनको तृप्त करता।”
