[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 1] മുദ്രയിട്ടവർ ആരെല്ലാമെന്നാൽ: ഹഖല്യാവിന്റെ മകനായ ദേശാധിപതി നെഹെമ്യാവു,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 2] സിദെക്കീയാവു, സെരായാവു, അസര്യാവു, യിരെമ്യാവു,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 3] പശ്ഹൂർ, അമര്യാവു, മല്ക്കീയാവു,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 4] ഹത്തൂശ്, ശെബന്യാവു, മല്ലൂക്,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 5] ഹരീം, മെരേമോത്ത്, ഓബദ്യാവു,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 6] ദാനീയേൽ, ഗിന്നെഥോൻ, ബാരൂക്,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 7] മെശുല്ലാം, അബീയാവു, മീയാമീൻ,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 8] മയസ്യാവു, ബിൽഗായി, ശെമയ്യാവു; ഇവർ പുരോഹിതന്മാർ.
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 9] പിന്നെ ലേവ്യർ; അസന്യാവിന്റെ മകനായ യേശുവയും ഹെനാദാദിന്റെ പുത്രന്മാരിൽ ബിന്നൂവിയും
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 10] കദ്മീയേലും അവരുടെ സഹോദരന്മാരായ ശെബന്യാവു, ഹോദീയാവു,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 11] കെലീതാ, പെലായാവു, ഹാനാൻ, മീഖാ,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 12] രെഹോബ്, ഹശബ്യാവു, സക്കൂർ, ശേരെബ്യാവു,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 13] ശെബന്യാവു, ഹോദീയാവു, ബാനി, ബെനീനു.
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 14] ജനത്തിന്റെ തലവന്മാർ: പരോശ്, പഹത്ത്-മോവാബ്, ഏലാം, സഥൂ,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 15] ബാനി, ബുന്നി, അസ്ഗാദ്, ബേബായി,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 16] അദോനീയാവു, ബിഗ്വായി, ആദീൻ,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 17] ആതേർ, ഹിസ്കീയാവു, അസ്സൂർ,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 18] ഹോദീയാവു, ഹാശും, ബേസായി,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 19] ഹാരീഫ്, അനാഥോത്ത്, നേബായി,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 20] മഗ്പിയാശ്, മെശുല്ലാം, ഹേസീർ,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 21] മെശേസബെയേൽ, സാദോക്, യദൂവ,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 22] പെലത്യാവു, ഹനാൻ, അനായാവു,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 23] ഹോശേയ, ഹനന്യാവു, ഹശ്ശൂബ്,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 24] ഹല്ലോഹേശ്, പിൽഹാ, ശോബേക്,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 25] രെഹൂം, ഹശബ്നാ, മയസേയാവു,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 26] അഹീയാവു, ഹനാൻ, ആനാൻ,
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 27] മല്ലൂക്, ഹാരീം, ബയനാ എന്നിവർ തന്നേ.
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 28] ശേഷംജനത്തിൽ പുരോഹിതന്മാരും ലേവ്യരും വാതിൽകാവല്ക്കാരും സംഗീതക്കാരും ദൈവാലയദാസന്മാരും ദേശത്തെ ജാതികളോടു വേർപെട്ടു ദൈവത്തിന്റെ ന്യായപ്രമാണത്തിങ്കലേക്കു തിരിഞ്ഞുവന്നവരൊക്കെയും അവരുടെ ഭാര്യമാരും പുത്രന്മാരും പുത്രിമാരുമായി പരിജ്ഞാനം തിരിച്ചറിവുള്ള ഏവരും
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 29] ശ്രേഷ്ഠന്മാരായ തങ്ങളുടെ സഹോദരന്മാരോടു ചേർന്നു ദൈവത്തിന്റെ ദാസനായ മോശെമുഖാന്തരം നല്കപ്പെട്ട ദൈവത്തിന്റെ ന്യായപ്രമാണം അനുസരിച്ചു നടക്കുമെന്നും ഞങ്ങളുടെ കർത്താവായ യഹോവയുടെ സകലകല്പനകളും വിധികളും ചട്ടങ്ങളും പ്രമാണിച്ചു ആചരിക്കുമെന്നും
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 30] ഞങ്ങളുടെ പുത്രിമാരെ ദേശത്തെ ജാതികൾക്കു കൊടുക്കയോ ഞങ്ങളുടെ പുത്രന്മാർക്കു അവരുടെ പുത്രിമാരെ എടുക്കയോ ചെയ്കയില്ലെന്നും
[IRV | ML | OT | Nehemiah | Chapter 10 | Verse 31] ദേശത്തെ ജാതികൾ ശബ്ബത്തുനാളിൽ ചരക്കോ യാതൊരു ഭക്ഷണസാധനമോ വില്പാൻ കൊണ്ടുവന്നാൽ ഞങ്ങൾ അതു ശബ്ബത്തുനാളിലും വിശുദ്ധദിവസത്തിലും അവരോടു മേടിക്കയില്ല എന്നും ഏഴാം ആണ്ടിനെ വിമോചനസംവത്സരമായും എല്ലാകടവും ഇളെച്ചുകൊടുക്കുന്നതായും പ്രമാണിക്കുമെന്നും ശപഥവും സത്യവും ചെയ്തു.
