[IRV | UR | NT | Galatians | Chapter 3 | Verse 1] ऐ नादान ग़लतियो, किसने तुम पर जादू कर दिया? तुम्हारी तो गोया आँखों के सामने ईसा मसीह सलीब पर दिखाया गया।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 2] मैं तुम से सिर्फ़ ये गुज़ारिश करना चाहता हूँ: कि तुम ने शरी'अत के आ'माल से पाक रूह को पाया या ईमान की ख़ुशख़बरी के पैग़ाम से?
[IRV | UR | NT | Galatians | Chapter 3 | Verse 3] क्या तुम ऐसे नादान हो कि पाक रूह के तौर पर शुरू करके अब जिस्म के तौर पर काम पूरा करना चाहते हो?
[IRV | UR | NT | Galatians | Chapter 3 | Verse 4] क्या तुमने इतनी तकलीफ़ें बे फ़ाइदा उठाईं? मगर शायद बे फ़ाइदा नहीं।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 5] पर जो तुम्हें पाक रूह बख़्शता और तुम में मोजिज़े ज़ाहिर करता है, क्या वो शरी'अत के आ'माल से ऐसा करता है या ईमान के ख़ुशख़बरी के पैग़ाम से?
[IRV | UR | NT | Galatians | Chapter 3 | Verse 6] चुनाँचे “अब्रहाम ख़ुदा पर ईमान लाया और ये उसके लिए रास्तबाज़ी गिना गया।”
[IRV | UR | NT | Galatians | Chapter 3 | Verse 7] पस जान लो कि जो ईमानवाले हैं, वही अब्रहाम के फ़रज़न्द हैं।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 8] और किताब — ए — मुक़द्दस ने पहले से ये जान कर कि ख़ुदा ग़ैर क़ौमों को ईमान से रास्तबाज़ ठहराएगा, पहले से ही अब्रहाम को ये ख़ुशख़बरी सुना दी, “तेरे ज़रिए सब क़ौमें बर्क़त पाएँगी।”
[IRV | UR | NT | Galatians | Chapter 3 | Verse 9] इस पर जो ईमान वाले है, वो ईमानदार अब्रहाम के साथ बर्क़त पाते है।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 10] क्यूँकि जितने शरी'अत के आ'माल पर तकिया करते है, वो सब ला'नत के मातहत हैं; चुनाँचे लिखा है, “जो कोई उन सब बातों को जो किताब में से लिखी है; क़ाईम न रहे वो ला'नती है।”
[IRV | UR | NT | Galatians | Chapter 3 | Verse 11] और ये बात साफ़ है कि शरी'अत के वसीले से कोई इंसान ख़ुदा के नज़दीक रास्तबाज़ नहीं ठहरता, क्यूँकि कलाम में लिखा है, रास्तबाज़ ईमान से जीता रहेगा।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 12] और शरी'अत को ईमान से कुछ वास्ता नहीं, बल्कि लिखा है, “जिसने इन पर 'अमल किया, वो इनकी वजह से जीता रहेगा।”
[IRV | UR | NT | Galatians | Chapter 3 | Verse 13] मसीह जो हमारे लिए ला'नती बना, उसने हमे मोल लेकर शरी'अत की ला'नत से छुड़ाया, क्यूँकि कलाम में लिखा है, “जो कोई लकड़ी पर लटकाया गया वो ला'नती है।”
[IRV | UR | NT | Galatians | Chapter 3 | Verse 14] ताकि मसीह ईसा में अब्रहाम की बर्क़त ग़ैर क़ौमों तक भी पहूँचे, और हम ईमान के वसीले से उस रूह को हासिल करें जिसका वा'दा हुआ है।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 15] ऐ भाइयों! मैं इंसान ियत के तौर पर कहता हूँ कि अगर आदमी ही का 'अहद हो, जब उसकी तस्दीक़ हो गई हो तो कोई उसको बातिल नहीं करता और ना उस पर कुछ बढ़ाता है।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 16] पस अब्रहाम और उसकी नस्ल से वा'दे किए गए। वो ये नहीं कहता, नस्लों से, जैसा बहुतों के वास्ते कहा जाता है: बल्कि जैसा एक के वास्ते, तेरी नस्ल को और वो मसीह है।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 17] मेरा ये मतलब है: जिस 'अहद की ख़ुदा ने पहले से तस्दीक़ की थी, उसको शरी'अत चार सौ तीस बरस के बाद आकर बातिल नहीं कर सकती कि वो वा'दा लअहासिल हो।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 18] क्यूँकि अगर मीरास शरी'अत की वजह से मिली है तो वा'दे की वजह से ना हुई, मगर अब्रहाम को ख़ुदा ने वा'दे ही की राह से बख़्शी।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 19] पस शरी'अत क्या रही? वो नाफ़रमानी की वजह से बाद में दी गई कि उस नस्ल के आने तक रहे, जिससे वा'दा किया गया था; और वो फ़रिश्तों के वसीले से एक दरमियानी की मा'रिफ़त मुक़र्रर की गई।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 20] अब दर्मियानी एक का नहीं होता, मगर ख़ुदा एक ही है।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 21] पस क्या शरी'अत ख़ुदा के वा'दों के ख़िलाफ़ है? हरगिज़ नहीं! क्यूँकि अगर कोई एसी शरी'अत दी जाती जो ज़िन्दगी बख़्श सकती तो, अलबत्ता रास्तबाज़ी शरी'अत की वजह से होती।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 22] मगर किताब — ए — मुक़द्दस ने सबको गुनाह के मातहत कर दिया, ताकि वो वा'दा जो ईसा मसीह पर ईमान लाने पर मौक़ूफ़ है, ईमानदारों के हक़ में पूरा किया जाए।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 23] ईमान के आने से पहले शरी'अत की मातहती में हमारी निगहबानी होती थी, और उस ईमान के आने तक जो ज़ाहिर होनेवाला था, हम उसी के पाबन्द रहे।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 24] पस शरी'अत मसीह तक पहूँचाने को हमारा उस्ताद बनी, ताकि हम ईमान की वजह से रास्तबाज़ ठहरें।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 25] मगर जब ईमान आ चुका, तो हम उस्ताद के मातहत ना रहे।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 26] क्यूँकि तुम उस ईमान के वसीले से जो मसीह ईसा में है, ख़ुदा के फ़र्ज़न्द हो।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 27] और तुम सब, जितनों ने मसीह मैं शामिल होने का बपतिस्मा लिया मसीह को पहन लिया
[IRV | UR | NT | Galatians | Chapter 3 | Verse 28] न कोई यहूदी रहा, न कोई यूनानी, न कोई ग़ुलाम, ना आज़ाद, न कोई मर्द, न औरत, क्यूँकि तुम सब मसीह 'ईसा में एक ही हो।
[IRV | UR | NT | Galatians | Chapter 3 | Verse 29] और अगर तुम मसीह के हो तो अब्रहाम की नस्ल और वा'दे के मुताबिक़ वारिस हो।
